"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1919867","16991","54243","4349","186222","6666","291957","9224","320868","8939","304158","8915","121175","6137","274319","8732","48200","3610","57930","3502","138730","6002","86963","5582","35102","2788","0400000US01","Alabama"
"336668","5636","28841","3327","56734","3277","65344","3967","63164","3940","47282","3411","11780","2083","25900","2748","3779","1106","4196","973","12071","1895","10307","1611","7270","1326","0400000US02","Alaska"
"2573491","15596","72444","4677","246288","9647","366196","11556","395841","12254","395983","10165","171832","7150","402407","11830","72430","4749","107562","5924","195001","8097","104312","5133","43195","3257","0400000US04","Arizona"
"1190483","10678","56053","4116","178170","6808","200964","6395","208913","7806","166213","6617","64755","4345","138526","6476","25542","2509","26493","2508","66990","3559","38211","3099","19653","1951","0400000US05","Arkansas"
"15567196","43055","322514","9648","1307673","20602","2088857","25271","2410314","27379","2316275","26781","881633","15010","2345526","23369","382289","11886","619210","14089","1254614","19563","1138548","17755","499743","11820","0400000US06","California"
"2370579","16220","84345","5021","252414","8755","337861","8879","378388","9675","360036","9356","152017","6969","331534","8594","65847","3974","89680","4540","165984","6433","104348","5593","48125","3403","0400000US08","Colorado"
"1656785","12692","48645","4248","171326","7239","255807","6512","266598","8495","265685","9817","98500","5359","214281","7043","46951","2621","55744","3505","102693","5575","87911","4782","42644","3046","0400000US09","Connecticut"
"403316","5869","10787","1677","36035","2977","59588","4201","69444","3510","61343","3765","26072","2300","51309","4289","11650","1877","15500","1982","29186","3364","21498","2138","10904","1396","0400000US10","Delaware"
"311014","6284","3365","1067","13561","2210","24275","2549","40295","3758","50417","3823","21448","2664","62901","4222","15717","1838","15935","2602","33629","2639","21836","2557","7635","1298","0400000US11","District of Columbia"
"7757026","33094","145170","8111","585716","14617","1004703","21171","1230977","19164","1271607","22718","512161","12585","1273170","22759","238913","9902","309747","9667","641035","18011","382414","10649","161413","8009","0400000US12","Florida"
"4011658","24001","98513","5554","332923","11474","532475","15001","637623","13391","588337","13770","240481","10085","575998","14133","124098","6675","159624","6804","377585","11947","247964","9100","96037","6355","0400000US13","Georgia"
"640879","7415","14874","2082","62420","3909","88893","5159","95708","4641","93606","4382","30975","2966","105977","4267","16292","2232","25995","2270","53182","3965","38415","3029","14542","1812","0400000US15","Hawaii"
"656748","8247","37576","3170","108181","6152","119165","5460","117549","5763","89920","5629","40218","4411","65016","4174","11146","2128","13211","1899","25201","2753","17609","2598","11956","1707","0400000US16","Idaho"
"5683562","23005","159369","5423","545729","13026","743685","13612","734633","12787","748042","14262","334714","9984","801716","16020","181875","6638","273082","7625","555939","12312","453194","9138","151584","6165","0400000US17","Illinois"
"2855891","16079","104049","5516","340227","7683","447477","11494","465740","11476","441533","9794","187870","7210","341148","8891","78834","4069","94135","4619","187830","7496","107996","5571","59052","3858","0400000US18","Indiana"
"1458360","8596","105637","4473","259819","7336","273421","7098","241477","7044","203600","6371","79274","3817","130343","5632","29275","1957","28697","2330","56758","2898","31110","2192","18949","1763","0400000US19","Iowa"
"1332275","10023","83424","4175","215190","7274","248145","6964","235550","6870","197977","7401","76606","3855","135640","5987","25410","2456","26687","2802","46442","3073","24956","2320","16248","2090","0400000US20","Kansas"
"1789062","13346","72385","4288","210578","7306","284876","8232","317215","9305","274553","7030","115113","4966","214682","7751","43428","2966","52595","3464","109253","3941","57034","3957","37350","2986","0400000US21","Kentucky"
"1918744","12717","72310","4798","219573","7579","297584","8645","314583","7865","283665","9136","101445","5102","253935","9195","43689","3910","47808","3635","129942","6108","93702","5485","60508","4037","0400000US22","Louisiana"
"598598","6972","32112","2763","84618","4564","93150","4683","84494","4152","83342","4517","36341","2913","67813","3435","17137","1965","22540","2286","37726","2192","25996","2043","13329","1484","0400000US23","Maine"
