"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"2787912","14245","46961","3318","175339","6562","268253","7624","346852","9577","376947","8783","163981","7192","440546","9911","102125","4941","142258","6023","323852","8955","284578","7964","116220","5371","0400000US24","Maryland"
"3136643","18459","81364","5372","281368","7676","401225","9908","419731","8911","410195","10377","175684","6522","460851","12051","101545","4996","149605","6088","308630","8545","259593","8062","86852","4735","0400000US25","Massachusetts"
"4036961","18141","139832","4811","437304","9040","609855","11215","653261","10941","623808","11064","273383","8330","511713","10403","123356","4570","149716","5049","280559","7827","162399","5711","71775","3656","0400000US26","Michigan"
"2591196","13501","109407","4141","322369","8004","398395","8085","404031","8115","395523","7825","184443","5754","321070","6606","73020","3916","85451","3853","159509","5411","96709","4477","41269","2431","0400000US27","Minnesota"
"1150196","11850","51277","3324","133285","5887","177452","7706","188331","7636","171087","6914","63685","4699","164390","7077","28229","3123","30838","2817","65734","4066","47165","3797","28723","3048","0400000US28","Mississippi"
"2614036","15383","102626","4953","324952","9675","379080","10475","425618","9540","397393","9659","177461","6352","342401","9904","78383","4232","87888","4145","166518","6575","87146","4157","44570","3182","0400000US29","Missouri"
"444232","5896","34795","2680","82558","3955","99127","4192","84348","3530","54126","3583","14953","1541","29744","2300","4719","864","6849","1081","12814","1306","10424","1172","9775","1355","0400000US30","Montana"
"900483","6472","63004","3311","151053","4896","175645","4978","159526","5041","139689","4232","50642","3064","78271","3045","12731","1746","15540","1703","27446","2305","16953","1670","9983","1496","0400000US31","Nebraska"
"1178781","9833","32219","3232","96928","5536","155366","6801","209581","6412","223958","8297","93261","5166","192957","8014","27113","2672","30688","3379","50219","3680","40239","3343","26252","2366","0400000US32","Nevada"
"637747","6867","22511","2659","67722","4082","96700","4357","90258","4522","85248","3911","44878","3232","76644","4082","19889","1838","27183","2306","50853","3360","37189","2954","18672","1979","0400000US33","New Hampshire"
"3945265","20522","92149","4797","321356","8707","490504","10957","508101","9790","513613","12722","229517","8878","523184","11690","118829","5871","185827","6380","381941","9383","394706","8426","185538","6236","0400000US34","New Jersey"
"826180","10088","34679","3225","108037","5353","144414","5565","157278","5995","127274","5385","44850","3491","94403","5554","14099","2201","16651","2331","41963","3571","27313","2405","15219","1872","0400000US35","New Mexico"
"8566966","26224","214024","7276","665902","14132","955026","13848","1024823","13074","1096112","20178","452441","10540","1222540","18032","234352","8667","423806","11241","886973","16436","961886","14578","429081","11174","0400000US36","New York"
"4072520","23332","131299","6724","409921","11703","627646","11321","724596","15014","648668","13684","272687","8980","519465","12243","118947","5625","129326","6379","260585","8577","149583","6494","79797","5033","0400000US37","North Carolina"
"355264","4540","34071","2500","77173","3897","80291","4369","65684","3773","32195","2359","12353","1909","20481","1896","3526","732","3590","753","9373","1307","9439","1215","7088","1165","0400000US38","North Dakota"
"5004577","20581","185473","6531","557870","11314","774483","14443","798284","11573","820508","14039","382926","9875","621896","10977","144904","5963","177213","7752","286900","7208","164263","5852","89857","4926","0400000US39","Ohio"
"1626405","9538","76953","3701","227876","6260","281445","7633","273241","5946","260231","6340","95755","4519","196902","6562","32367","2269","34925","2416","74518","3912","44914","3140","27278","1913","0400000US40","Oklahoma"
"1595991","12131","67623","4671","203711","8141","267593","8568","259079","8251","237375","8909","96642","4620","187180","6774","39991","3711","49781","4038","100152","5824","55989","3862","30875","2634","0400000US41","Oregon"
"5584155","20518","195858","5934","567962","9900","799499","11773","826147","12703","816972","13408","351666","8014","712002","12661","156491","4892","221252","6674","460463","8561","325622","9096","150221","4789","0400000US42","Pennsylvania"
"485623","7298","14350","1812","47238","3320","74635","4264","82702","3934","79450","4286","31524","3020","58712","3345","11715","2020","18621","2200","33987","3434","22098","2897","10591","1572","0400000US44","Rhode Island"
"1931496","15790","62047","4266","190884","6995","290041","7863","333314","9697","326666","9919","123955","6066","271100","8241","55593","4139","54921","3617","124514","6129","61274","4251","37187","3573","0400000US45","South Carolina"
"396728","5453","35756","2450","85783","4020","82216","4296","70639","3756","48533","2950","13095","1335","26957","2380","5217","943","5990","1150","10950","1359","6769","1062","4823","897","0400000US46","South Dakota"
"2676009","15301","70726","4354","249381","8382","394698","10396","446609","9551","431949","10525","175856","6846","388094","11409","81772","4350","90865","4865","193484","5982","104387","5476","48188","3494","0400000US47","Tennessee"
"11152347","30511","338267","11498","1111976","19406","1585825","22772","1769844","25603","1639111","24011","635493","15123","1694523","19675","300941","10123","400030","12227","860797","16657","575251","13302","240289","8649","0400000US48","Texas"
"1234950","8477","53024","3429","155900","6262","205956","5748","208243","6642","203644","5885","71409","3897","149028","5912","24341","1939","33981","2785","66650","4867","39216","3278","23558","2584","0400000US49","Utah"
"295636","4870","16869","1767","40113","3015","46840","2512","43073","2780","39393","2615","18889","2165","35397","2510","7285","1033","9605","1274","19227","1696","13389","1404","5556","699","0400000US50","Vermont"
"3779438","17848","78437","5072","307096","9064","482954","9695","562156","13429","572515","11207","242558","8257","551558","12230","116971","6111","154192","6316","333472","8189","262710","8842","114819","4867","0400000US51","Virginia"
"3005863","16253","88210","5016","287746","9430","413527","10230","478087","12017","438662","9930","193636","7520","419609","9956","88028","4496","125853","5590","229950","7848","164525","7003","78030","4722","0400000US53","Washington"
"712516","9524","32066","2845","86645","4879","107672","4656","114745","5201","98449","3733","43334","3884","74326","4166","18924","2640","25699","2563","49937","3193","37059","2862","23660","2218","0400000US54","West Virginia"
"2690547","11084","125084","4753","370183","8287","463269","8862","451519","8637","395438","8333","177880","5671","281428","6696","73843","4017","77443","3108","142257","5619","86494","3889","45709","2815","0400000US55","Wisconsin"
"270152","4661","24654","2727","64634","4182","59451","3483","43763","3318","24609","2532","6077","1108","16157","2064","2198","604","3371","832","10168","1616","7930","1572","7140","1462","0400000US56","Wyoming"
"1032768","12496","22025","2160","67893","4159","117445","6026","151351","6480","146895","5826","46486","3874","171820","7548","21947","2452","48456","3731","91780","5001","106817","5496","39853","3138","0400000US72","Puerto Rico"
