"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1950193","12853","50533","3591","176701","6839","282124","8090","341395","8599","316324","8913","133249","6492","295236","9727","52327","4090","52743","3585","138428","6507","75205","4898","35928","2380","0400000US01","Alabama"
"345296","5258","28148","2330","66323","4634","68435","4333","64284","3612","47827","3741","10999","1824","24294","2709","3497","973","3724","983","12256","1861","9469","1412","6040","1051","0400000US02","Alaska"
"2669939","19893","72871","4536","265609","7860","364556","10186","421447","10995","412582","12315","188647","7650","402287","11273","78078","3845","110731","5330","204724","7574","106147","5575","42260","3440","0400000US04","Arizona"
"1208299","13420","52648","3590","170855","6954","210230","8425","207576","8385","178446","6908","68635","4561","134171","6170","25603","2833","32138","2721","63466","3431","42889","3997","21642","2258","0400000US05","Arkansas"
"16323951","43271","325805","10984","1335362","21281","2099382","26290","2467457","30069","2358076","24904","976551","16870","2450357","29602","422791","11493","694089","12646","1383016","18520","1257910","20335","553155","10703","0400000US06","California"
"2506847","13812","74803","4221","249535","7850","355138","10282","384617","9158","376491","9636","166504","6234","354625","9876","83855","4483","94315","5290","189363","6928","127108","6165","50493","3983","0400000US08","Colorado"
"1683826","11524","49075","4158","163964","7546","256567","8634","268647","7854","266434","7723","111641","5325","209537","7457","47060","3478","59668","3824","108887","5542","92639","4333","49707","3208","0400000US09","Connecticut"
"415479","5959","9952","1532","36665","3074","67039","3937","71863","4441","68973","4490","26144","2550","54936","3403","11512","1916","10358","1549","27515","3084","20820","2141","9702","1584","0400000US10","Delaware"
"326050","5896","4044","1088","15252","2275","23879","2003","39454","3632","52376","3659","25631","2280","68477","4648","17474","2121","19044","2518","34827","2900","19273","2258","6319","1558","0400000US11","District of Columbia"
"8170362","33838","157299","6287","607391","13749","1006762","19121","1274718","20497","1351443","20823","554285","15649","1347016","21123","261400","10600","331438","9420","688900","14889","424115","12017","165595","7362","0400000US12","Florida"
