"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1984610","16622","51363","4422","196214","7856","285238","9281","330771","9363","301239","9668","135316","6414","291010","9317","57230","4314","59987","4719","155551","5743","83771","5619","36920","3278","0400000US01","Alabama"
"344032","5454","29567","2699","64730","3850","64863","4661","69708","4073","49788","4293","12636","1839","21137","2472","2650","654","3975","1039","9822","1321","10098","1331","5058","1113","0400000US02","Alaska"
"2803061","17424","79087","5273","274014","10265","367788","10853","433132","9961","435998","11244","198992","7978","402858","11022","86832","4833","108107","6424","221181","8404","141546","7272","53526","4667","0400000US04","Arizona"
"1224076","11906","57622","4486","172293","6853","221863","9503","215913","8574","170021","7262","66909","4799","130804","5659","26320","2878","33340","3204","71315","4579","41015","3524","16661","1974","0400000US05","Arkansas"
"16881674","45210","293319","9431","1288665","20535","2119483","24434","2469040","26432","2390808","23571","989589","18669","2549695","30756","461712","11666","737411","14958","1493472","21881","1403043","20985","685437","13541","0400000US06","California"
"2586936","16169","75564","5455","268205","8471","345028","9094","401883","10218","391573","10680","180584","6763","370485","10548","78919","4754","99896","4911","200167","6869","128112","5838","46520","3391","0400000US08","Colorado"
"1691805","11668","45115","3937","160140","6402","257027","7715","270155","8987","256075","7965","112790","5632","211354","7107","45444","3233","64971","4270","115144","5580","96477","5061","57113","4032","0400000US09","Connecticut"
"419591","6667","9086","1757","30136","2978","57263","4476","65469","3779","72284","5077","30583","3017","66755","4688","9932","1857","17291","2012","28309","2912","22069","2745","10414","1835","0400000US10","Delaware"
"340443","5640","3889","1210","15326","2271","25537","2402","37845","3070","49787","3776","27326","2386","63723","4016","18284","2249","22970","2732","42501","3147","26246","2780","7009","1615","0400000US11","District of Columbia"
"8574746","35611","142391","6441","616613","16514","1034562","22650","1279915","22673","1351251","21828","579516","15177","1420078","23251","294060","10684","365883","12447","777182","15688","513574","12799","199721","7951","0400000US12","Florida"
"4417667","23918","92428","6518","351219","10859","560557","12500","651725","15431","627709","14878","257979","10559","634879","16487","143050","7383","172990","7795","440808","13619","346488","11643","137835","7126","0400000US13","Georgia"
"673851","7592","14861","2112","63584","4302","86917","5200","95015","4815","87979","4511","37485","3294","111607","5567","16728","2111","30195","2792","60071","3986","52106","3621","17303","2246","0400000US15","Hawaii"
"709089","9834","39470","3380","105371","5803","129083","5236","122727","6584","102501","6102","38201","3466","75786","5108","15960","2967","16257","2537","32725","3342","18343","2063","12665","1784","0400000US16","Idaho"
"5827667","21147","153077","6001","527706","12631","708472","13276","760556","15389","732123","12752","349866","9529","810079","16218","197804","6686","301295","10210","611218","12367","507789","11292","167682","5910","0400000US17","Illinois"
"2989065","14076","98106","4383","355873","9912","465078","10224","488360","12497","453635","10810","205054","6549","357305","10250","97788","4615","103819","5460","191389","6827","117589","5545","55069","3479","0400000US18","Indiana"
"1508674","9507","102873","4922","258824","6787","279691","8248","253805","7091","213529","6701","94229","4787","132475","4403","33131","2291","31729","2724","57538","3671","31936","2439","18914","1984","0400000US19","Iowa"
"1357805","9804","79612","4566","228377","7256","239816","5887","234308","8089","208857","7411","79021","4410","132113","6204","26758","2272","28692","2553","54046","3434","30587","2649","15618","1962","0400000US20","Kansas"
