"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","id","Geographic Area Name"
"2061582","16502","53726","4540","196990","8654","286089","11555","351061","11879","318575","11117","133163","6129","280324","11580","63063","4592","66256","4324","166578","7093","100574","6332","45183","3749","0400000US01","Alabama"
"334670","6017","26404","2285","60521","3744","61476","4475","62621","4570","44393","3943","16806","2645","26949","3346","3105","974","3490","998","11773","1786","9137","1655","7995","1679","0400000US02","Alaska"
"3028094","17634","72456","5826","283341","9040","373430","10420","441697","13546","450265","13034","231521","10871","446510","12281","100465","6066","126687","7842","257436","8388","174912","9327","69374","5090","0400000US04","Arizona"
"1267318","12827","60250","5404","171427","7860","223489","9296","217448","8138","169310","8065","71835","4874","147115","7821","35075","3597","33348","3274","72643","4882","42155","3359","23223","2527","0400000US05","Arkansas"
"17541864","46300","300358","9979","1234770","20239","2055648","27348","2497257","30142","2434268","29066","1078364","22539","2618747","30958","514784","14714","794870","16504","1623798","23242","1577711","25833","811289","16960","0400000US06","California"
"2736847","16038","66642","4765","238809","9345","353260","11337","422756","12265","416186","12557","182249","7261","402468","10683","96012","5649","117892","5708","229496","7642","149674","6928","61403","3588","0400000US08","Colorado"
"1696055","12358","40638","4525","161291","7196","251645","9129","262232","9804","258962","9292","113025","6443","204454","7682","53811","4069","67067","4631","119395","5630","99331","5435","64204","4194","0400000US09","Connecticut"
"439954","5955","9003","1647","37514","3936","61180","4146","74982","4431","69697","5738","33863","3256","56109","4221","10819","1989","17353","2348","28780","3030","26046","3047","14608","2510","0400000US10","Delaware"
"357476","5911","3328","1187","11699","1811","24076","2770","39507","3083","48481","3705","25274","2686","72577","6001","20249","2812","29153","2464","48696","3824","28645","3287","5791","1237","0400000US11","District of Columbia"
"9169251","38382","156859","7847","633713","19185","1038062","21410","1310219","22329","1389165","28093","615879","18196","1551570","23509","324042","11719","432872","14264","872831","18896","609327","14299","234712","9911","0400000US12","Florida"
"4613976","30064","99471","6598","340785","12668","539248","14993","682526","17387","644700","18463","302293","11056","657889","17614","165362","7545","190169","8663","467362","12055","366942","12610","157229","8954","0400000US13","Georgia"
"668572","8191","12469","2305","54070","4637","90138","4831","96665","5375","86551","5623","34583","3353","117728","5536","16342","2102","26227","2904","65148","4481","47386","4418","21265","3197","0400000US15","Hawaii"
"777276","9210","40497","3620","118230","6876","133688","8557","126585","6112","110919","6717","49172","3830","82197","5214","16896","2905","19623","2836","41971","3815","23467","2347","14031","2105","0400000US16","Idaho"
"5868100","23656","156177","6859","522548","11711","665527","12718","761303","15106","715795","15720","363913","9934","832336","18271","217037","7644","298103","9727","634669","13781","521452","11935","179240","8442","0400000US17","Illinois"
"3088401","19117","111496","5460","359427","10654","461650","11149","505990","14756","429485","11933","219632","8800","379498","9970","106073","6287","110160","5956","212051","8141","128816","6414","64123","4605","0400000US18","Indiana"
"1497910","11976","92250","3453","254742","8082","269498","8751","257925","8294","207948","7113","94856","4563","134545","6373","31817","2642","35076","2946","61976","4396","33850","3003","23427","1819","0400000US19","Iowa"
"1373902","10258","83013","4122","223113","7762","228133","7507","239468","7788","202345","7525","87181","5330","140810","6080","28950","2532","33197","2974","57998","3682","31332","2920","18362","1923","0400000US20","Kansas"
"1888668","14995","64766","4779","217752","9445","287006","8493","325973","9266","284924","9222","121003","5669","233339","8304","53094","4291","59605","3462","117080","5184","76314","4958","47812","3595","0400000US21","Kentucky"
"1944593","16552","63030","5091","196318","8358","283182","10381","330665","12333","286045","10399","103399","6680","263452","10634","48487","4857","61282","5204","139293","7031","102694","6822","66746","5160","0400000US22","Louisiana"
"626159","7590","28867","2833","80237","4906","88372","5112","95909","5536","84907","4861","42008","2943","70934","4122","21958","2661","24763","3054","45603","2677","27677","2518","14924","1870","0400000US23","Maine"
"2904720","18942","46280","4838","174422","6842","255451","8948","342245","12715","347088","11010","189543","8367","433705","10816","117148","6064","154123","6924","363812","11819","347063","8802","133840","7506","0400000US24","Maryland"
"3439192","19158","74899","5014","272197","8940","395002","12252","426725","11488","418423","12637","209288","8148","484530","12827","121595","5900","169686","7704","379587","10379","352707","10940","134553","6684","0400000US25","Massachusetts"
"4451922","19973","135806","6207","458297","11333","622977","13956","700811","13087","680333","13734","335380","8479","565008","10692","157256","5450","168311","7617","324437","8533","213212","6871","90094","4462","0400000US26","Michigan"
"2768195","15202","96427","4464","316970","8490","395449","9407","422508","9810","400874","9912","215023","7229","358453","9555","96721","4160","107150","5599","193859","6162","113418","4760","51343","3165","0400000US27","Minnesota"
"1196507","16555","38354","4763","123498","7159","176762","9216","206259","8579","171548","8905","78943","5794","159514","7632","37373","4381","46089","4937","76047","5575","48561","4425","33559","3938","0400000US28","Mississippi"
"2767713","16819","94615","5695","294092","9585","386666","11063","451069","11253","430062","10703","195179","7948","382858","11182","94963","4462","96092","5939","185005","6894","101099","5650","56013","4051","0400000US29","Missouri"
"480953","6685","32030","2719","88850","5372","92392","4750","93194","4971","59685","4462","21777","2800","40811","3414","5895","1258","6131","1083","15442","1618","14084","2151","10662","1973","0400000US30","Montana"
"954832","8925","64015","3446","149371","5297","171321","6662","166281","6773","143128","6074","61735","4284","89883","4394","17312","2214","20008","2436","36154","2808","22997","2520","12627","1728","0400000US31","Nebraska"
"1389786","13066","26833","3002","109206","6242","177092","6864","214808","8626","251557","8273","118469","6656","239056","8860","44756","4295","48090","3147","75740","4955","52243","4591","31936","2900","0400000US32","Nevada"
"670253","7994","20063","2449","70916","3914","90334","5802","94253","6107","85994","5519","44644","3400","81525","4930","28335","2973","27625","2272","57609","4780","43768","3629","25187","2787","0400000US33","New Hampshire"
"4203644","17534","81435","5419","298087","9559","460346","12397","502933","11307","503046","13943","284278","10583","575612","14636","139059","7256","202771","7575","441289","11367","470431","10063","244357","9210","0400000US34","New Jersey"
"861872","10429","39908","4592","112083","6548","142007","7524","147229","7303","126529","6723","47019","4655","108020","6146","18288","2681","23765","3125","46328","3436","31550","3734","19146","2518","0400000US35","New Mexico"
"8982350","30207","192490","8111","638043","15308","883105","16602","1053299","16265","1029921","19879","497453","11069","1247507","19490","278451","8543","475627","12847","1027071","21238","1127702","21253","531681","10318","0400000US36","New York"
"4606696","24999","128368","8019","416510","13148","654742","15789","764962","16975","696880","17278","325066","11266","616309","16041","159320","7783","170873","7673","347909","11302","215818","9649","109939","5640","0400000US37","North Carolina"
"390897","6083","32210","2921","73761","4742","87916","5007","76238","4440","43887","4274","15014","2113","24389","2062","4151","1204","4986","996","11149","1476","10090","1687","7106","1259","0400000US38","North Dakota"
"5332716","22743","174893","7072","566033","13718","737476","13596","865823","15358","826829","15563","436383","10093","682153","13189","188519","7162","205344","8408","347909","9503","200674","8204","100680","5331","0400000US39","Ohio"
