"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1996620","17087","48818","4128","190594","8086","265878","10026","339475","10949","318904","9891","124299","7040","295011","11309","59562","4750","66898","5416","154033","7939","92581","6017","40567","3507","0400000US01","Alabama"
"336665","4982","27010","2377","60728","3956","64546","3918","68345","3635","44414","3733","14334","2009","23643","2794","2072","569","4304","1082","10947","1754","9032","1165","7290","1325","0400000US02","Alaska"
"2959893","20660","74946","5198","283308","8973","385269","11725","455236","10065","459848","12758","209621","7425","417231","11578","96341","5058","130465","8035","235295","8263","148271","6529","64062","4511","0400000US04","Arizona"
"1252384","12566","54203","4321","168747","7154","222928","8680","222739","8428","172409","8682","70301","5174","145564","7129","31886","2934","31915","2979","70784","4786","40073","4102","20835","2570","0400000US05","Arkansas"
"17418097","38689","292689","10848","1242986","20001","2070884","29858","2533667","30873","2416781","31597","1053645","15724","2656088","24110","491080","11575","782925","16248","1594529","21223","1519579","20961","763244","17462","0400000US06","California"
"2709692","19073","68528","5131","259631","9127","363501","9974","419780","10509","404632","11743","181616","7942","390439","11234","88976","5193","101747","5443","234177","7006","139496","7409","57169","4407","0400000US08","Colorado"
"1691500","13527","40333","4501","151572","7167","242544","8660","268721","8891","260162","9330","117726","5040","211759","8226","52941","3751","61799","3702","125277","5729","100159","5229","58507","4006","0400000US09","Connecticut"
"426968","7141","7280","1324","39099","3876","57236","4343","70248","4552","69463","4823","32333","3196","58098","4493","13359","2187","14183","1856","31509","3159","21789","2349","12371","2019","0400000US10","Delaware"
"355056","6301","3233","1048","14869","1761","24452","2738","34404","3025","52398","4290","30215","2815","75845","4671","18675","2463","23893","2682","46867","3903","22895","3104","7310","1385","0400000US11","District of Columbia"
"9011991","38376","160008","8488","619713","17266","1006086","19693","1310689","20125","1367988","26082","621588","15137","1547356","26283","316323","13051","412598","12798","869144","16572","569397","17343","211101","8339","0400000US12","Florida"
"4602079","25874","93142","5316","337221","11515","565757","14090","672936","13794","643900","19728","288330","10011","671599","19353","149236","7080","196155","8270","470006","14050","363535","12655","150262","7228","0400000US13","Georgia"
"669546","7920","14118","1917","58713","4240","81871","4740","97877","5167","92885","5681","35409","3548","114235","5138","16403","2037","31471","3186","60912","4524","45900","4093","19752","2530","0400000US15","Hawaii"
"745182","8967","39989","3484","106052","6656","128938","6071","146004","7310","106135","5031","40350","4395","74151","4828","13459","2044","16927","2188","36283","3583","24456","3061","12438","1870","0400000US16","Idaho"
"5872993","22893","163860","4995","514884","13018","699770","12945","741384","14109","731334","16236","363418","9628","816344","13311","213344","7333","294600","9632","627158","12300","524178","12050","182719","7068","0400000US17","Illinois"
"3052737","18710","105528","5555","351814","10224","469616","10611","490940","12172","441866","11113","208732","7670","374808","11126","101109","5287","113474","6075","214783","8295","124418","5735","55649","3834","0400000US18","Indiana"
"1507414","11050","97375","4689","253363","8658","270584","7410","266053","8076","211228","7636","90997","4263","135560","5144","31350","2638","30663","2256","64263","4217","35680","2858","20298","2005","0400000US19","Iowa"
"1366384","10653","76864","4086","219656","8216","244506","8563","239968","7595","203445","6103","81947","4473","138554","5797","33665","2529","29781","2439","52427","3576","29707","2574","15864","1670","0400000US20","Kansas"
"1885194","14934","68370","4973","218344","8060","280482","8565","320784","7497","302641","10537","130734","7104","225548","7701","51996","3393","56916","3324","120663","5452","70100","5328","38616","3718","0400000US21","Kentucky"
"1927047","18467","54408","4198","193945","9414","263762","10413","343969","10311","292510","9627","109950","7027","269670","10042","49758","3876","52060","5146","133508","6823","101571","6177","61936","5375","0400000US22","Louisiana"
"626294","6936","25275","2532","78471","5382","98851","5057","92053","5087","86319","4175","42507","3948","71914","4013","24165","2708","21185","1814","46764","3086","26047","2049","12743","1693","0400000US23","Maine"
"2907451","17841","42736","3469","164735","7758","263599","8062","363093","9572","367051","9979","184055","7438","431591","11754","112549","6076","164229","6785","348121","10266","328724","9279","136968","5353","0400000US24","Maryland"
"3370418","17274","75200","5151","267776","8683","386301","8846","436672","10581","406682","10601","192265","7086","485063","13020","119080","5099","171792","6913","371627","9900","337594","9377","120366","5293","0400000US25","Massachusetts"
"4425851","19024","129542","6088","462089","9688","632841","12527","714767","11239","671639","11247","329195","8191","559941","10600","141718","5279","173818","6693","322062","7573","206235","6488","82004","4346","0400000US26","Michigan"
"2745161","13115","97375","4157","327319","8930","399843","8036","423019","10412","405770","9392","207942","5986","343115","9125","96151","4980","110202","5446","182205","5953","104494","4434","47726","3269","0400000US27","Minnesota"
"1185383","11983","34314","3479","126439","6398","178397","6935","204915","8719","172675","8475","74126","4772","169096","6603","32940","3350","30642","3198","79520","5670","51824","4006","30495","3189","0400000US28","Mississippi"
"2752472","14905","93329","5135","306684","9467","387616","11867","443230","12353","421938","10659","196224","6124","363334","9148","98792","5139","105908","5912","187053","7348","98975","4664","49389","3254","0400000US29","Missouri"
"477201","7200","35333","3403","91894","5498","91824","5047","87929","4110","63635","4586","22572","2775","35984","3272","6242","1193","5018","1129","15505","1928","11425","1639","9840","1484","0400000US30","Montana"
"935958","8462","59096","3053","163476","4995","169389","5453","166717","5301","141886","4824","55477","3082","83864","4029","17628","1827","16863","1747","32363","2378","18108","2018","11091","1450","0400000US31","Nebraska"
"1367374","12089","28757","2896","106502","6011","183006","8507","226316","9712","241992","8692","107846","5891","235274","7829","34921","3272","50716","3680","74434","5142","45584","3783","32026","3454","0400000US32","Nevada"
"664999","7768","20551","2547","67847","4690","91786","5093","95609","4721","85902","4496","46133","3622","81292","5128","24807","2367","28792","2822","55152","3915","42745","2953","24383","2577","0400000US33","New Hampshire"
"4192357","20594","77044","4622","315944","11190","461218","11621","516563","14255","532974","13146","267361","8676","561522","12794","142438","6585","205813","8286","434277","11697","446434","11202","230769","8374","0400000US34","New Jersey"
"830408","9910","30156","2921","100567","6179","129794","5928","154468","7029","126264","5902","56157","4257","100309","5432","16997","2164","24298","2627","42762","3683","31214","3280","17422","2164","0400000US35","New Mexico"
"8889715","29292","193479","7348","614171","11685","877402","13979","1012723","17084","1075124","16066","504198","13309","1237506","19432","276668","7778","467126","12010","978250","14731","1113138","18524","539930","13994","0400000US36","New York"
"4565929","26224","118340","5889","439935","13505","637568","16859","778449","15568","715753","15622","325312","9733","610852","14773","151412","7024","161914","6300","336284","10518","200680","9216","89430","5771","0400000US37","North Carolina"
"383794","5907","31570","2203","76552","4479","91476","4911","75667","4910","37232","2938","11919","1462","21484","1995","3706","706","3864","643","11019","1643","11500","1938","7805","1265","0400000US38","North Dakota"
"5281107","22772","177894","7686","563785","11802","756296","13153","857896","13267","851195","13503","432583","11750","675650","11897","177212","6600","188128","6918","331993","9748","181431","6798","87044","4603","0400000US39","Ohio"
"1703612","10616","76348","3667","217537","8277","272491","7189","291440","7247","268516","8136","111511","4807","207951","6130","40352","3137","44533","2988","87515","4109","53404","3575","32014","2408","0400000US40","Oklahoma"
"1845718","14713","62438","4926","222108","8973","277094","10289","309110","10322","267672","10066","119904","6413","230066","7803","47925","3037","65975","4963","127399","6582","81860","5570","34167","3450","0400000US41","Oregon"
"5820681","20688","174130","6217","574290","13246","759562","13285","853260","13484","812098","15884","399865","8595","747828","12062","192845","6426","245144","6627","518624","13163","368342","11028","174693","7368","0400000US42","Pennsylvania"
"500700","7940","11358","1607","48596","3936","74389","4982","80634","5509","81010","5151","35837","3271","61370","3797","15302","2050","21614","2749","40083","2981","18484","2579","12023","1849","0400000US44","Rhode Island"
