"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"454934","6707","33451","2922","81488","3659","99900","4813","93214","4350","56640","3734","15987","2034","32195","2663","5086","956","5780","926","13522","1421","10516","1519","7155","1090","0400000US30","Montana"
"935676","7716","59815","3202","161465","5559","174921","6111","171784","5102","136760","4959","54630","3080","85936","3845","14296","1663","17263","1530","31212","2106","18082","1819","9512","1251","0400000US31","Nebraska"
"1266883","11582","26345","2940","102008","5569","160031","6895","216043","9111","240621","8089","105445","4644","222800","7310","30033","2650","39803","4031","59112","4429","37584","3301","27058","2650","0400000US32","Nevada"
"650890","7855","21884","2406","69651","3815","92294","5826","86021","5080","90767","4774","37919","2856","79494","4449","19555","2369","28034","2381","54959","4033","47294","3405","23018","2330","0400000US33","New Hampshire"
"4110129","20599","85078","4700","308882","9443","493244","13437","514973","12716","549669","12130","262469","7761","557772","15209","126394","5410","192636","6840","392475","10834","414556","9188","211981","6409","0400000US34","New Jersey"
"835084","12365","28809","2811","110216","5180","148328","7014","156544","6939","125906","6293","43269","3113","100030","6997","15548","1824","21061","2558","43901","3701","25874","2636","15598","1863","0400000US35","New Mexico"
"8908793","31414","199067","7871","654972","14479","934323","15643","1023635","16610","1102726","17378","474545","14247","1253115","19193","261785","9570","460414","12801","964983","16564","1083210","17332","496018","12028","0400000US36","New York"
"4297256","20108","124982","6731","412518","11353","640785","13762","756106","14776","665649","13514","302748","9884","570786","15206","131059","6590","137934","6578","301624","9580","167692","6837","85373","5265","0400000US37","North Carolina"
"386062","4674","33060","2176","85383","3863","83273","4550","78030","4808","42271","3968","12268","1571","18795","2075","3112","745","4641","807","8843","1210","9363","1377","7023","1553","0400000US38","North Dakota"
"5181015","21715","182076","7167","569616","11292","752872","13254","851208","14089","820607","14068","414350","11014","651134","10857","172916","6543","188118","6969","318938","9104","173426","6421","85754","4170","0400000US39","Ohio"
"1674574","10551","70686","3963","228526","7344","279977","6892","292753","8456","262233","7440","100673","3744","205684","6678","40178","3031","38117","2258","81783","4097","46613","2636","27351","2933","0400000US40","Oklahoma"
"1723222","12928","66298","4456","202684","6773","276587","9381","274125","7901","248264","6493","114077","5955","205454","7077","43702","3286","65872","5122","118792","5375","75636","4920","31731","2712","0400000US41","Oregon"
"5725579","23250","183918","6356","570032","11813","772686","14991","821429","12644","813412","14229","374231","9698","751070","13804","186290","6460","227033","6549","497075","10926","362556","8221","165847","5349","0400000US42","Pennsylvania"
"492895","7215","12950","2093","52315","4083","72702","4195","76104","4907","83496","4561","34321","3268","60019","4427","14562","1815","19150","2526","32016","3081","21231","3200","14029","1856","0400000US44","Rhode Island"
"2064668","18269","67258","4289","191743","8824","294879","9115","343408","10524","324245","9336","144934","6015","296640","8854","67596","4631","67396","4766","152584","6371","80258","4457","33727","2739","0400000US45","South Carolina"
"405898","5653","33395","2508","83393","3626","81327","4409","80156","4687","50756","3145","17324","2107","25385","2470","3604","731","5623","1064","12388","1372","7437","1059","5110","1023","0400000US46","South Dakota"
"2842657","18304","77013","4692","270275","9306","389884","10294","467287","12829","463077","11507","197646","7653","391942","12729","84137","5048","100746","6048","219331","6798","132539","6400","48780","4073","0400000US47","Tennessee"
"12007770","38610","308946","9468","1153931","21484","1640772","28082","1870081","23104","1728829","23909","673328","13991","1815612","22839","329230","10134","451811","16080","1031090","18935","721112","14397","283028","9868","0400000US48","Texas"
"1317600","12435","55493","3568","174445","6649","222057","7296","232589","8157","215982","8439","84155","4731","145805","5378","27205","2095","30571","2931","70595","4141","39091","3495","19612","2429","0400000US49","Utah"
"300782","4273","15881","1618","37695","2857","46951","3128","47529","2426","43315","2845","18803","1826","33448","2365","9973","1322","9594","1341","20369","1746","11997","1296","5227","1128","0400000US50","Vermont"
"3925375","16547","87369","5104","307946","8939","473808","10328","588334","12565","579770","12139","264369","7927","554432","12006","133468","5327","163375","5949","364320","9598","291203","7811","116981","6073","0400000US51","Virginia"
"3180512","17074","89610","4463","300238","7841","410198","11119","489137","12414","456816","11185","205951","7716","420575","12527","102952","4579","135920","6750","262835","7493","212394","7992","93886","4750","0400000US53","Washington"
"698251","8618","26703","2320","85113","4162","104709","5256","107228","5134","99792","4460","43130","3629","78525","4627","18997","2292","18884","2083","52000","3706","39375","2686","23795","2360","0400000US54","West Virginia"
"2793052","11565","120800","4143","384878","8508","474764","9460","458674","9999","403507","9561","190109","5686","302233","7535","78041","3564","86355","3020","162202","4980","86740","3465","44749","2685","0400000US55","Wisconsin"
"277027","5057","25958","2858","59887","3980","66044","4091","45672","3714","24433","3195","6051","1506","15018","1867","3437","1104","3367","987","9059","1626","8507","1416","9594","1802","0400000US56","Wyoming"
"977129","11447","21079","2961","65563","4228","118066","6681","145177","6659","136944","6753","44928","3420","161658","7439","20796","2796","47476","3675","86100","5303","94751","5874","34591","3074","0400000US72","Puerto Rico"
