"GEO_ID","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Geographic Area Name"
"0400000US30","443639","7084","33016","2611","85359","5105","97452","5728","77037","4628","58712","3589","15052","2349","32362","2983","5496","1417","6381","1290","13639","1836","10382","1328","8751","1621","Montana"
"0400000US31","888020","8472","60869","3100","153635","5486","173709","4625","161660","6171","130744","4828","51350","3451","78133","4469","11538","1173","14573","1724","26258","1965","14871","1520","10680","1922","Nebraska"
"0400000US32","1158745","12657","28501","4261","96573","6298","152457","8548","204300","10743","227048","9230","82307","7359","192061","12255","30173","3988","30335","4791","48772","5303","40420","4723","25798","3735","Nevada"
"0400000US33","631281","7756","19962","2234","72672","4102","84538","4496","83794","4434","88095","3998","44682","3549","77763","4278","19833","2349","25822","2867","52981","4070","41036","3553","20103","1985","New Hampshire"
"0400000US34","3904190","17923","97676","5517","332056","10096","490027","11458","485788","10028","512299","12381","223258","7867","533476","11428","107084","4988","180026","6813","370915","10026","387577","11147","184008","6312","New Jersey"
"0400000US35","819408","9064","36049","3275","109999","4897","144648","6764","141526","6711","129698","6001","39076","3919","101486","5721","15130","2247","19276","2641","41276","3590","25988","2827","15256","2714","New Mexico"
"0400000US36","8432594","31551","227657","8617","667185","14774","936061","14043","1020339","18500","1104777","17941","445044","11761","1203952","17822","229504","7278","406396","9315","824802","15253","952224","17531","414653","11006","New York"
"0400000US37","3986657","27485","125108","6548","409250","13068","623264","13493","700760","17677","626542","15562","272505","11729","538184","15287","107030","7569","122756","6554","256425","11489","130094","5751","74739","5017","North Carolina"
"0400000US38","348261","4591","33575","2686","75608","4441","82130","4790","62386","3867","34943","2410","10344","1794","17940","1913","3445","824","4299","916","7848","1259","9001","1237","6742","1302","North Dakota"
"0400000US39","4939489","23613","177713","6734","558902","12461","741354","14842","794690","13652","803972","16507","365761","9228","638900","11491","150681","5996","168679","6008","295025","9646","162055","6137","81757","4558","Ohio"
