"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1933555","16895","53146","4040","189049","7112","276820","9473","338249","9817","300829","9011","122593","7231","292931","9182","52437","3887","55758","4107","141816","6112","74906","4444","35021","2962","0400000US01","Alabama"
"342405","5479","26539","2358","56348","3568","73269","4666","64630","4279","47412","3859","14560","1914","22915","3218","3761","1223","5057","1116","11732","1701","8534","1075","7648","1549","0400000US02","Alaska"
"2604104","16668","76149","4486","250598","8050","361047","9603","395842","12250","403131","10723","189030","7619","389640","9235","72311","3797","105989","5061","204629","7336","110447","4467","45291","3308","0400000US04","Arizona"
"1188625","11146","54554","4150","160604","5688","207026","8323","214569","8447","169537","7258","62755","4193","140330","6605","27183","3608","29245","2996","67909","4368","36115","2852","18798","2363","0400000US05","Arkansas"
"15868010","41013","313543","10108","1290625","21723","2098100","26643","2435511","27477","2355128","29161","934487","15811","2365170","27938","411587","10659","645501","13613","1313017","19668","1168216","21315","537125","13954","0400000US06","California"
"2399564","16901","75445","3765","247977","8575","341301","11274","386505","10087","373411","10591","157885","7348","322238","8898","69694","3993","91044","4469","179526","5621","107412","6028","47126","3583","0400000US08","Colorado"
"1661027","10885","46952","3609","159851","6865","253778","7647","268673","8301","265181","8437","101594","5831","207527","8674","46738","3557","61462","4860","111664","5356","89594","5711","48013","3353","0400000US09","Connecticut"
"407696","6230","9955","1515","34726","3328","60604","4692","67958","3734","67243","3812","27738","2569","56305","4368","10204","1531","12786","1710","28096","2966","21647","2610","10434","1786","0400000US10","Delaware"
"315613","5279","5115","1408","13177","1876","22103","2646","39732","3399","48862","3817","22816","2415","65502","4664","16957","2092","18782","2360","34239","2845","20322","2428","8006","1525","0400000US11","District of Columbia"
"7929082","32998","165763","8470","604394","15090","1001531","21120","1229093","17415","1308415","24584","532653","13570","1314471","22284","246270","10155","321647","10355","658779","16731","394788","12281","151278","7079","0400000US12","Florida"
"4082818","24372","96529","5023","343237","10207","521806","13413","638453","14489","635734","14746","237884","9274","577843","15480","125056","7324","149351","6555","388384","13264","264752","9517","103789","6272","0400000US13","Georgia"
"642827","7266","15731","2415","61269","3875","81307","4831","91378","5185","89585","4753","34121","2886","114173","5004","13865","1716","21337","2269","62002","4108","41063","3381","16996","2623","0400000US15","Hawaii"
"658527","9679","37419","3361","106754","5612","120059","6522","117725","5719","92956","6255","34822","2946","64724","3890","14604","3725","13938","2724","26467","2623","19022","2313","10037","1499","0400000US16","Idaho"
"5722315","23874","164432","6682","540359","12107","720198","14077","763114","14056","744507","14879","335501","8702","784918","12569","193770","7177","277759","9148","580688","13807","463652","9621","153417","7511","0400000US17","Illinois"
"2875963","17332","112530","6783","350873","8659","427577","10314","473367","11565","438337","9086","200203","6477","341965","8716","89506","4903","98656","5287","185529","6082","109068","5060","48352","3319","0400000US18","Indiana"
