"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"1483107","8752","104387","4223","262980","7683","274899","6720","250262","7489","198461","6109","88687","4362","133172","5469","30538","2874","29416","2081","58742","3383","32418","2560","19145","1675","0400000US19","Iowa"
"1333607","11598","83811","3962","224641","6095","237057","7254","241816","8986","188083","6384","76830","4679","136485","5004","26971","2256","25543","2338","50737","3694","24905","2129","16728","1954","0400000US20","Kansas"
"1806915","13743","69121","4675","222236","7730","284507","9420","315200","9128","282702","8419","119850","5724","217101","7347","49209","3653","44618","3303","106940","5579","61949","4691","33482","3173","0400000US21","Kentucky"
"1937064","14966","63462","5167","208232","8543","305450","9040","324428","9187","289001","9492","105992","6168","259963","10302","42996","3200","50631","3516","132976","5941","93442","6163","60491","4579","0400000US22","Louisiana"
"593227","6092","34351","2841","75267","4371","95096","4477","88652","4292","84525","4098","37457","2561","63713","3983","14452","1742","18522","2356","42079","3492","25042","2734","14071","1616","0400000US23","Maine"
"2821646","15324","46264","3870","174487","7470","268848","9029","354748","11057","356374","10337","173324","7256","420240","10527","101922","4604","150923","6268","344522","8233","307560","8219","122434","6340","0400000US24","Maryland"
"3178822","20255","81102","4976","275822","8255","396053","10213","422074","10249","421345","10898","201671","7589","447078","12119","102413","5255","151699","5419","320506","7620","268886","8311","90173","4593","0400000US25","Massachusetts"
"4110449","21519","141192","5340","461930","10589","603553","11931","666771","12735","623735","11988","292622","7982","502490","9689","136400","5338","148824","5423","293183","7618","160696","5903","79053","3953","0400000US26","Michigan"
"2638199","12562","111262","4060","333215","7810","395212","9815","411150","9306","386606","10300","189570","6322","326596","8724","79687","4515","91381","4067","175829","5464","96747","3790","40944","2712","0400000US27","Minnesota"
"1158296","12773","44346","4234","144739","8060","189767","8040","184436","6128","169726","7910","66818","4562","152522","6104","28093","3026","27297","2756","78917","5280","44248","4219","27387","3146","0400000US28","Mississippi"
"2659601","15135","104359","4833","317319","7875","392794","8050","426674","11254","397040","10507","184817","6980","360611","9951","82514","5113","89252","4405","174090","6739","83544","4995","46587","3730","0400000US29","Missouri"
"446809","6319","33862","2612","88244","4341","96408","5045","81484","4504","51144","3034","18209","2114","34687","3001","3994","885","6867","1322","14186","1520","10152","1415","7572","1300","0400000US30","Montana"
"912663","6701","59304","2976","158318","4948","173001","6273","161026","5854","139724","5041","50795","2927","87567","3889","13854","1358","15819","1460","29273","2643","16079","2066","7903","1213","0400000US31","Nebraska"
"1202135","12073","30503","3548","102208","4986","159159","7554","215853","8386","230215","8061","98503","5232","191988","8005","26815","2578","34195","2969","51841","4040","34330","3374","26525","2151","0400000US32","Nevada"
"640898","8027","26205","2956","70882","3565","89410","4536","88561","4022","83058","5129","41512","3002","78739","4225","19233","1834","29585","2653","54826","3695","37627","3116","21260","2689","0400000US33","New Hampshire"
"3999923","20416","88044","4928","317046","8634","477938","10979","520432","9619","517006","11744","244636","8752","532007","13774","120309","5270","193323","6198","398160","9439","404520","10588","186502","6662","0400000US34","New Jersey"
"827542","9814","38130","3738","110946","6320","148218","6797","148899","6887","118997","6532","44146","3143","96738","4920","15207","2266","20114","2150","42504","3349","28275","2449","15368","1895","0400000US35","New Mexico"
"8664226","29246","216796","8517","660477","14765","932422","16450","1045589","16995","1082255","17043","461570","11034","1214435","19820","257058","8150","437768","11093","922174","16527","995656","16329","438026","10530","0400000US36","New York"
"4151801","19449","120495","5969","411068","11096","644221","14111","734887","16392","663430","14127","284744","8875","536776","13257","120683","5790","130314","5974","270001","8396","152516","6014","82666","5173","0400000US37","North Carolina"
"370780","4422","32819","2288","73400","3925","87558","4031","65738","3582","41999","3458","10617","1576","23027","2367","3596","888","4258","765","9414","1112","9889","1584","8465","1629","0400000US38","North Dakota"
"5058917","25040","175431","6198","550259","13344","749707","14007","837660","14403","834463","12425","384490","9995","640550","12074","157609","6099","173919","7090","304496","7836","171089","7135","79244","4055","0400000US39","Ohio"
"1646344","10732","68400","3685","235804","6065","279588","6579","286802","7163","263003","6227","96021","4657","198619","5698","31895","2151","35978","2594","74468","3486","46076","2705","29690","2423","0400000US40","Oklahoma"
"1635384","14888","66717","4325","208160","7532","262297","9229","282879","8234","239684","7937","100121","4964","187569","7354","39470","3306","51266","4189","98143","4957","70547","4815","28531","2973","0400000US41","Oregon"
"5640000","21431","193693","7394","587617","12781","792698","12254","822039","14409","817815","15401","357753","9858","720275","14589","172563","5606","228653","6978","466098","9797","332981","8052","147815","5515","0400000US42","Pennsylvania"
"489610","7837","13681","1839","49493","3604","71321","4408","88263","5617","79753","5066","33783","3480","59259","3155","14657","1873","16956","2040","30642","2438","21687","2420","10115","1717","0400000US44","Rhode Island"
"1996609","16273","68667","4864","199853","7538","292974","9355","344027","10906","319428","9590","128598","6670","290800","10274","58977","4070","56147","4251","124279","5322","75912","4043","36947","2784","0400000US45","South Carolina"
"404732","4976","34148","2166","85431","4017","82201","4711","74997","4290","51282","2888","15166","1350","26447","2463","5032","1022","5724","1160","9636","942","9664","1128","5004","965","0400000US46","South Dakota"
"2736437","17959","72561","4551","260818","10244","384737","12518","458629","12101","446303","11100","186431","7315","395397","9898","77759","4846","83898","4096","208549","8165","114222","4970","47133","3752","0400000US47","Tennessee"
"11448252","34332","326743","9433","1128002","20690","1604173","21616","1841585","24048","1665775","21919","679842","14295","1691031","25570","297179","10975","404791","12374","928776","18204","638538","15025","241817","8997","0400000US48","Texas"
"1240207","11372","48826","3880","166945","7845","203109","7339","221572","7245","203551","8233","78489","4381","147817","5620","24327","2391","30898","2712","60902","3366","34929","3365","18842","2809","0400000US49","Utah"
"293106","4089","15118","1581","40928","2900","45221","2605","50029","2934","38318","2644","16683","1580","32148","2376","9656","1472","10019","1357","20375","1765","9548","1107","5063","737","0400000US50","Vermont"
"3836121","20382","83761","4901","315914","9302","485741","12902","590528","11275","560455","10901","260898","9141","537457","13403","121762","5966","156818","5821","346000","7848","264027","9063","112760","5778","0400000US51","Virginia"
"3034217","19382","95886","6046","287445","9845","406151","9979","480117","13007","459767","10716","192287","8255","401684","11379","90339","5462","123596","5247","245909","6871","171467","7875","79569","5077","0400000US53","Washington"
"716062","10041","31470","3158","79006","5002","105025","4344","111473","6036","108596","4845","41667","3673","75783","4712","19152","2341","23612","2439","51703","3636","43634","3544","24941","2210","0400000US54","West Virginia"
"2707399","15567","124535","5426","366431","7773","451267","9093","451978","10265","403420","8102","179203","5378","284780","8331","74553","3769","84891","4550","153042","5349","86721","3959","46578","2982","0400000US55","Wisconsin"
"280129","4443","27046","2812","67032","4092","67134","4111","43277","3018","22396","2458","6476","1303","16977","2065","3077","1021","4050","986","7569","1412","7925","1412","7170","1413","0400000US56","Wyoming"
"1003508","11736","18274","2268","68435","3932","111282","5429","148732","6473","142829","7500","45907","4256","166558","6380","23233","2803","49378","3716","83620","5310","101018","5517","44242","3302","0400000US72","Puerto Rico"
