"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1972747","17874","54876","4691","198057","7482","273478","8815","330385","10926","309495","10281","134590","7166","283697","11095","57752","4140","58562","4686","146170","6642","88666","4731","37019","3303","0400000US01","Alabama"
"335298","6491","23835","2287","62579","3802","65363","4475","58568","4002","47855","3841","15369","2395","25437","2835","3031","1037","5078","1271","11159","1775","9096","1526","7928","1267","0400000US02","Alaska"
"2892235","16831","71084","4498","274417","9374","375418","11276","435578","8951","433252","12738","223298","8088","439446","10983","92164","4911","123159","6119","229321","8601","139490","6462","55608","4196","0400000US04","Arizona"
"1234510","13089","55194","3654","166005","8327","214336","8083","224080","7566","173509","7079","66252","4228","139495","6697","28590","2825","36737","3091","71331","4426","41704","3199","17277","2465","0400000US05","Arkansas"
"17227742","47859","313799","10782","1258206","17489","2087047","25047","2485364","27059","2428361","26539","1051751","20486","2610905","29694","471273","14243","756701","15766","1572858","21762","1470220","18758","721257","15212","0400000US06","California"
"2642875","17113","68355","4754","245482","7899","358664","10207","404002","10502","400040","11454","177926","6956","383196","12682","88313","5418","102986","5081","216855","7608","143783","6848","53273","3774","0400000US08","Colorado"
"1686826","14264","40683","4067","155887","6301","244461","7655","263881","9255","273778","9054","114152","5460","214523","8417","48342","3670","61906","4036","115188","5812","97967","5426","56058","4064","0400000US09","Connecticut"
"408553","7000","7836","1635","29935","3442","56948","4328","65771","3801","70805","4615","30661","3649","57683","3987","11248","1615","17772","2392","26509","2442","23076","2600","10309","1594","0400000US10","Delaware"
"347713","6569","4423","1246","12306","1821","26774","2812","43156","4117","49398","3779","26097","2516","66753","4383","17596","1788","26622","2620","41405","3496","24904","2911","8279","1730","0400000US11","District of Columbia"
"8780575","37295","153199","7935","613698","16018","1001867","17307","1271337","22999","1386959","23712","601169","15387","1483223","23356","300899","10586","392002","10653","840772","20732","530452","14010","204998","10134","0400000US12","Florida"
"4506119","25151","89274","5501","339196","11770","550902","15625","679325","16904","644285","13855","274611","11681","659948","17463","145214","8812","178210","6515","436442","12047","369573","12873","139139","7417","0400000US13","Georgia"
"673295","7653","12451","1516","65617","3981","92487","5278","95283","5165","98862","4815","33673","3024","104576","5656","14816","1862","27826","2570","62081","3783","47796","3997","17827","2416","0400000US15","Hawaii"
"729993","10055","35952","3217","109328","5332","133358","7166","130748","7325","99075","5305","42561","4095","77388","4722","14590","2607","18052","2408","32993","3679","21720","2280","14228","2147","0400000US16","Idaho"
"5830834","25012","158229","5929","526961","12245","689670","15359","748151","15651","729523","12517","355174","10330","819621","13811","204449","7249","290986","10279","624399","11194","518127","11211","165544","7545","0400000US17","Illinois"
"2992415","19578","102470","5194","351726","10348","448738","10886","498038","11982","444147","11062","216460","7465","360921","9469","101625","4602","103790","5019","191180","7582","120018","5652","53302","3372","0400000US18","Indiana"
"1515794","10462","91721","4076","266154","7967","275615","7495","256731","8179","214935","7732","96392","4683","134790","5451","28465","2428","33222","2781","64375","3528","30910","2368","22484","2097","0400000US19","Iowa"
"1363342","8670","85247","4126","220836","7026","247240","8669","250891","6887","192597","6671","80048","4486","135218","5947","27135","2519","31913","2250","48405","3193","26358","2432","17454","1910","0400000US20","Kansas"
"1871768","14214","68045","4214","215162","9090","293019","10424","321521","9557","280027","7720","134723","5919","227314","8179","49147","3200","55698","3177","119733","5436","71753","4939","35626","2791","0400000US21","Kentucky"
"1936602","18747","52928","4053","198571","8551","290428","9635","338099","11910","287775","9807","112686","6268","267330","8703","47093","4453","52901","4257","136382","6663","100543","6196","51866","4117","0400000US22","Louisiana"
"618987","7979","31746","3052","77182","4691","87810","4904","91246","4821","87400","4779","41446","3364","74413","4172","19964","2226","23972","2714","45520","3304","26335","2624","11953","1617","0400000US23","Maine"
"2911761","14179","41880","3530","169200","6852","264326","9562","349174","10232","368368","10931","182266","7031","439523","9932","117610","5721","158108","7693","354154","10724","327313","9127","139839","7076","0400000US24","Maryland"
"3339823","18393","74122","4834","273856","8949","388101","10509","431947","10099","432497","12383","195747","7248","476627","12244","118553","5235","166496","6455","353074","10341","318059","8479","110744","5934","0400000US25","Massachusetts"
"4369631","19648","138470","6173","469807","11794","638700","11000","692774","12916","670276","12701","323755","8343","535619","10544","137065","4504","176385","5679","314127","8648","196242","6825","76411","3612","0400000US26","Michigan"
"2737702","12699","91371","4072","323827","7882","400941","8966","432359","10342","410040","9076","201395","6718","347688","8619","88256","3934","101968","5022","184998","6783","108347","4314","46512","2634","0400000US27","Minnesota"
"1187094","13858","34849","3289","132120","6868","182645","8306","188692","8621","179074","7234","74386","5308","172096","7820","30194","3373","33968","3379","75308","5712","52061","4729","31701","3434","0400000US28","Mississippi"
"2736135","18930","89435","5855","323374","10987","378984","10867","447960","11629","419604","11348","188624","6929","372280","11406","84169","5180","98250","5445","190808","6280","92173","5645","50474","3927","0400000US29","Missouri"
"475371","7335","36603","3302","96571","5081","92075","5064","91575","5052","60363","3688","14682","1623","38846","3415","5664","1189","6011","1100","13075","1537","12032","1657","7874","1327","0400000US30","Montana"
"949763","7770","61242","3347","162293","6130","173880","6546","171894","6321","138762","5935","61529","3798","85491","4693","16198","1761","17009","1846","34880","3152","17142","1469","9443","1713","0400000US31","Nebraska"
"1342327","11212","27472","3130","111155","6274","175339","8801","218870","8228","248069","9243","111778","5991","228283","9950","39563","2909","44506","4018","72352","4488","40573","3462","24367","2495","0400000US32","Nevada"
"668193","7652","25752","3000","66817","4450","85772","4487","94372","5366","90496","4841","49139","3730","82425","4819","24725","2572","26626","2533","56621","4310","42418","3569","23030","2306","0400000US33","New Hampshire"
"4207931","21736","86764","4928","316850","10024","475660","14004","522919","9119","561646","13029","255349","9624","559842","11887","128582","6817","201743","8297","414143","10134","456176","10379","228257","7454","0400000US34","New Jersey"
