"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"158372430","1268208","142864095","1223555","86137805","885827","56726285","937371","15508340","541162","0400000US42","Pennsylvania"
"12516125","362784","9079435","262164","5628095","223248","3451335","209663","3436690","278224","0400000US44","Rhode Island"
"54995090","855171","50047570","812552","30353155","497773","19694415","598299","4947520","313104","0400000US45","South Carolina"
"7290210","210363","6892550","208376","4569395","155807","2323155","153935","397665","72538","0400000US46","South Dakota"
"74868850","748090","70812660","719937","41152805","584769","29659850","557816","4056190","273420","0400000US47","Tennessee"
"336985505","1969834","331068305","2034163","214684460","1613159","116383850","1540472","5917200","395000","0400000US48","Texas"
"30994285","391576","30326305","381015","20788200","351547","9538105","349803","667980","102441","0400000US49","Utah"
"7081515","217718","6285380","185399","4092135","134927","2193245","155878","796130","103966","0400000US50","Vermont"
"114448400","999980","96564655","919869","35936105","494130","60628555","907241","17883740","565108","0400000US51","Virginia"
"96998425","910218","92882565","883721","65943395","787884","26939170","607221","4115860","247596","0400000US53","Washington"
"18589170","416393","14623185","351131","8293320","281037","6329860","383743","3965985","286591","0400000US54","West Virginia"
"62016855","514650","57402105","492314","33464860","346649","23937240","381004","4614750","232802","0400000US55","Wisconsin"
"4331640","169469","4107730","159811","3506480","129725","601250","101206","223910","52006","0400000US56","Wyoming"
"29029515","554378","28919085","543408","8650045","307926","20269045","546111","110430","60331","0400000US72","Puerto Rico"
