"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"50352035","661709","47038430","633794","28975945","440970","18062490","547238","3313600","262950","0400000US01","Alabama"
"6413555","233229","6362430","227039","5086210","148867","1276220","153656","51125","27798","0400000US02","Alaska"
"76216710","729431","74026695","733202","68310155","708906","5716540","340479","2190015","235715","0400000US04","Arizona"
"27221965","530798","25628455","486481","15845610","383101","9782845","367558","1593510","165753","0400000US05","Arkansas"
"525695390","2353182","522091230","2364308","368433255","1820214","153657975","1718938","3604155","285124","0400000US06","California"
"70126780","741825","68551965","750635","34027340","515609","34524630","599921","1574815","198643","0400000US08","Colorado"
"45387530","608946","37208625","509421","24857410","405542","12351210","372829","8178905","401042","0400000US09","Connecticut"
"11274595","308571","8321300","322583","7039105","257087","1282190","167720","2953295","245322","0400000US10","Delaware"
"10965565","259963","7237880","214573","7237880","214573","-","**","3727690","221360","0400000US11","District of Columbia"
"252645030","1540269","247685980","1547495","179092935","1207707","68593045","1195066","4959050","440986","0400000US12","Florida"
"133615450","1207568","128100495","1178793","53484985","832233","74615510","1062687","5514950","414307","0400000US13","Georgia"
"18501560","409103","18397035","407859","18308245","413700","88790","41527","104525","31283","0400000US15","Hawaii"
"15644395","312219","14271260","282799","9881675","259617","4389580","243680","1373135","162178","0400000US16","Idaho"
"172692890","1125551","163327325","1002341","105631400","807587","57695925","865024","9365565","400904","0400000US17","Illinois"
"73091600","812543","65300335","755065","35575240","595792","29725095","628385","7791265","405421","0400000US18","Indiana"
"29367110","435675","27133435","411445","16688390","328899","10445040","273873","2233675","149190","0400000US19","Iowa"
"26863770","379254","23319580","335675","15333215","238165","7986365","273938","3544190","198437","0400000US20","Kansas"
"44232510","636810","39433725","553026","21976465","326581","17457260","505146","4798790","298879","0400000US21","Kentucky"
"50737165","910539","47929470","763708","26055350","499409","21874125","636779","2807695","363349","0400000US22","Louisiana"
"15067955","291010","13988975","265606","9393060","219383","4595915","226973","1078980","137007","0400000US23","Maine"
"96797100","816106","70419910","791996","35395845","558502","35024065","702796","26377190","658112","0400000US24","Maryland"
"102698470","837302","97547885","867910","49289395","667319","48258490","679199","5150590","301625","0400000US25","Massachusetts"
"109262625","811081","106075755","795810","58037345","599554","48038410","634930","3186870","234516","0400000US26","Michigan"
"65299620","636912","62970705","633149","30524975","376405","32445730","512391","2328915","152980","0400000US27","Minnesota"
"29622810","588814","24943770","527938","13000800","365454","11942970","410818","4679040","430443","0400000US28","Mississippi"
"65921805","631977","59664685","624706","31047710","500401","28616970","554340","6257120","294498","0400000US29","Missouri"
"8853865","271752","8519090","257811","6907400","200978","1611690","180714","334775","98418","0400000US30","Montana"
"17609055","312507","16769425","315533","11331360","261932","5438065","193919","839630","88147","0400000US31","Nebraska"
"34082115","498498","33026635","497906","30869055","511869","2157580","197575","1055480","138685","0400000US32","Nevada"
"18370270","372210","13058625","281793","8254775","252858","4803850","232813","5311645","294195","0400000US33","New Hampshire"
"136032825","1046858","97403250","904233","43645240","610754","53758005","799136","38629575","794317","0400000US34","New Jersey"
"19074385","443655","17713935","430183","13285005","314471","4428925","316373","1360450","158659","0400000US35","New Mexico"
"302146320","1842407","290915425","1835508","136019905","1196693","154895520","1575739","11230900","516487","0400000US36","New York"
"113268765","994713","107566385","924584","61826160","739168","45740225","843709","5702380","456978","0400000US37","North Carolina"
"6808475","236836","6410280","225112","4659825","183808","1750460","150205","398190","71122","0400000US38","North Dakota"
"124680935","939838","118590345","912154","67382420","661406","51207925","780501","6090590","311802","0400000US39","Ohio"
"37664990","416749","35935815","431546","21785475","341700","14150340","353015","1729175","146391","0400000US40","Oklahoma"
"43965175","657456","42382340","644007","27213810","425647","15168530","596645","1582835","153411","0400000US41","Oregon"
