"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"48823890","700769","44838725","590879","27810105","502087","17028620","484520","3985165","344890","0400000US01","Alabama"
"6179720","221048","6133775","215894","5046350","184563","1087425","153790","45945","29110","0400000US02","Alaska"
"70912125","838562","68866040","784821","63721465","685957","5144575","332776","2046080","230534","0400000US04","Arizona"
"25909705","438242","24291745","447239","14657810","306465","9633930","381117","1617960","174829","0400000US05","Arkansas"
"496073120","2066309","493213910","2048551","347762700","1840061","145451210","1583587","2859210","263532","0400000US06","California"
"64680960","748149","63264360","708023","32124285","487656","31140075","491548","1416605","172788","0400000US08","Colorado"
"44476435","649002","37401235","518944","25025560","464416","12375670","335099","7075205","336852","0400000US09","Connecticut"
"10966250","298357","8157855","261088","7019665","227713","1138190","129830","2808395","223084","0400000US10","Delaware"
"10491175","271793","6931490","225676","6931490","225676","-","**","3559685","190527","0400000US11","District of Columbia"
"235372605","1650168","230768330","1622047","166884715","1281475","63883620","1063147","4604270","346054","0400000US12","Florida"
"125993940","1288027","121017355","1279939","50774555","851074","70242800","1031593","4976585","347904","0400000US13","Georgia"
"18451930","347373","18357620","339651","18261085","337178","96540","25813","94305","39318","0400000US15","Hawaii"
"14846180","393568","13332170","377883","9396980","272284","3935185","237871","1514010","181730","0400000US16","Idaho"
"168484015","1056677","160081260","1006484","104018115","907685","56063140","836062","8402760","321010","0400000US17","Illinois"
"70419650","671268","62803750","666422","34714930","499771","28088820","590969","7615900","386567","0400000US18","Indiana"
"28682170","406213","26442575","380565","16615900","259198","9826670","290871","2239595","143592","0400000US19","Iowa"
"26323260","397585","22992620","350887","15284030","256917","7708590","296145","3330640","178990","0400000US20","Kansas"
"43104210","591053","38335660","554900","21325980","401640","17009680","474296","4768545","275486","0400000US21","Kentucky"
"48465555","697319","46462365","664736","24979590","467935","21482775","604416","2003190","270512","0400000US22","Louisiana"
"14512945","366573","13148540","269468","8718825","202438","4429715","203155","1364405","280876","0400000US23","Maine"
"95181445","826718","69101275","710294","34351950","523070","34749330","637976","26080165","636679","0400000US24","Maryland"
"98321840","961235","92507505","943642","47499455","680499","45008050","774915","5814335","293551","0400000US25","Massachusetts"
"105526385","732758","102414880","709206","56232000","555046","46182880","637990","3111505","188160","0400000US26","Michigan"
"63349035","544754","60978880","515472","29170300","410146","31808580","467487","2370155","149559","0400000US27","Minnesota"
"28891660","573589","24304815","462144","12728235","323470","11576580","446211","4586845","363310","0400000US28","Mississippi"
"64278770","728739","58370015","640060","30855750","464309","27514265","576908","5908755","306664","0400000US29","Missouri"
"8114700","222338","7742550","204683","6386765","161833","1355785","133186","372150","109530","0400000US30","Montana"
"17318230","336121","16455360","310559","10803795","191873","5651560","236983","862870","116677","0400000US31","Nebraska"
"31289255","408975","30130520","416174","28141180","369637","1989345","192422","1158735","187200","0400000US32","Nevada"
"17813050","372194","12620765","304590","7809905","220763","4810855","224281","5192285","301359","0400000US33","New Hampshire"
"131052675","1113887","94717970","920048","42654360","588767","52063610","849435","36334705","786871","0400000US34","New Jersey"
"18273140","299923","17292325","263332","13193265","265097","4099060","188214","980815","124254","0400000US35","New Mexico"
"296881175","1556230","285436280","1559776","132694490","1116818","152741790","1418755","11444890","489010","0400000US36","New York"
"106718250","987288","101452850","935956","58474570","700144","42978280","693604","5265400","355414","0400000US37","North Carolina"
"6699650","207188","6368465","207156","4548860","155040","1819610","141995","331180","54684","0400000US38","North Dakota"
"121906570","1012772","116165410","873841","66609895","628557","49555515","699134","5741160","304133","0400000US39","Ohio"
