"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"35398890","394414","33806580","401058","20854095","286554","12952480","293601","1592310","122963","0400000US40","Oklahoma"
"42334520","660307","40719850","642771","26153205","387318","14566645","485452","1614670","176446","0400000US41","Oregon"
"153107045","992927","136958445","883461","81892175","701253","55066265","731443","16148600","645562","0400000US42","Pennsylvania"
"12139830","318963","8689420","229369","5448065","194235","3241355","171894","3450410","228224","0400000US44","Rhode Island"
"52483005","638290","47609785","616470","28611340","370892","18998445","537688","4873220","285664","0400000US45","South Carolina"
"6765585","151141","6286690","139371","4149385","106952","2137305","103052","478895","89227","0400000US46","South Dakota"
"71231465","776674","67133010","775004","39795870","547940","27337140","589921","4098455","293912","0400000US47","Tennessee"
"322173345","1917058","316503560","1861139","207955755","1383791","108547805","1494914","5669785","424180","0400000US48","Texas"
"29152030","361077","28474835","353505","19719500","272824","8755335","279601","677200","121280","0400000US49","Utah"
"6834290","164109","6001835","165558","3942180","130558","2059655","127529","832455","92908","0400000US50","Vermont"
"112188250","908595","94211090","792592","34793445","520837","59417645","709765","17977155","575656","0400000US51","Virginia"
"90685170","984542","86005520","993019","61326755","751489","24678765","672089","4679650","264867","0400000US53","Washington"
"17676750","355125","13657110","271548","8051900","190654","5605210","253111","4019640","267162","0400000US54","West Virginia"
"60937045","520262","56180465","500373","33057900","409302","23122565","445712","4756580","183467","0400000US55","Wisconsin"
"4532790","196542","4183015","183858","3619050","158271","563960","99109","349775","77414","0400000US56","Wyoming"
"29061335","575561","29022755","573658","8631425","244807","20391330","558142","38580","23689","0400000US72","Puerto Rico"
