"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"47974830","590998","44211795","599031","27505155","423873","16706640","528721","3763035","260420","0400000US01","Alabama"
"6645700","267932","6617785","268158","5241680","204777","1376105","187900","27920","22709","0400000US02","Alaska"
"68838695","754411","67048710","734269","61706915","681750","5341800","308228","1789985","177626","0400000US04","Arizona"
"26793195","481119","24799630","502922","14942695","384006","9856935","346239","1993565","203123","0400000US05","Arkansas"
"480921445","2218611","477410995","2227356","337645900","1734678","139765095","1529493","3510450","273140","0400000US06","California"
"64758435","716131","63320090","693334","31631875","457919","31688215","557036","1438345","164365","0400000US08","Colorado"
"44533530","509641","37023055","456230","25032085","375121","11990970","371654","7510475","334107","0400000US09","Connecticut"
"10915665","356746","8067765","299617","6790020","272674","1277745","135285","2847905","234408","0400000US10","Delaware"
"10040065","216957","6564130","174031","6564130","174031","-","**","3475935","161373","0400000US11","District of Columbia"
"226719915","1371924","222217390","1353399","161034480","1369064","61182910","1118453","4502525","378967","0400000US12","Florida"
"121114610","1335255","116071070","1190425","49337975","647389","66733095","1061643","5043535","387127","0400000US13","Georgia"
"18396595","352177","18289815","346936","18205950","344442","83865","29425","106780","44285","0400000US15","Hawaii"
"14139490","357042","12636515","322593","8739115","253807","3897400","219806","1502975","197046","0400000US16","Idaho"
"168002375","1193669","160025010","1131200","103051980","878339","56973030","760165","7977365","374342","0400000US17","Illinois"
"68972140","728518","61644775","762630","34100065","479904","27544710","537529","7327365","376253","0400000US18","Indiana"
"28704265","408219","26490930","394511","16620220","281711","9870710","312625","2213335","137934","0400000US19","Iowa"
"25677720","409088","22432570","357237","15019710","245859","7412860","275819","3245150","186881","0400000US20","Kansas"
"42904915","558005","38223830","510487","21376715","383006","16847115","376999","4681085","235378","0400000US21","Kentucky"
"49429810","717171","47243510","691376","25733475","498857","21510040","612815","2186300","265417","0400000US22","Louisiana"
"14365340","280009","13168365","298293","8648785","227897","4519580","188499","1196975","139967","0400000US23","Maine"
"93478735","821509","68261030","761815","33792365","541650","34468670","638810","25217700","573828","0400000US24","Maryland"
"97584250","880604","92626950","830701","46756220","612380","45870730","786696","4957300","229512","0400000US25","Massachusetts"
"103775505","786740","100886530","781330","55434515","591663","45452015","604376","2888975","161848","0400000US26","Michigan"
"63353565","544058","61110075","525115","28970670","372098","32139410","511564","2243485","154204","0400000US27","Minnesota"
"28395220","490776","24064295","402610","12595425","311536","11468870","397525","4330925","259008","0400000US28","Mississippi"
"64147050","778605","58294250","676089","30875180","526923","27419070","569377","5852800","301374","0400000US29","Missouri"
"8177405","212489","7768595","214965","6474915","195526","1293675","158418","408810","110508","0400000US30","Montana"
"17215370","244617","16458240","242144","10917935","158028","5540305","206430","757130","86396","0400000US31","Nebraska"
"30626075","479251","29561635","436876","27732950","444862","1828685","174137","1064435","140128","0400000US32","Nevada"
"17963280","371603","12355185","296173","7701130","212434","4654055","230102","5608095","286758","0400000US33","New Hampshire"
"128807640","956774","93953545","848067","42809395","497758","51144150","707159","34854095","788131","0400000US34","New Jersey"
"18147215","413645","17150510","408308","12767490","338555","4383020","277383","996705","108807","0400000US35","New Mexico"
"294758495","1596811","283001540","1552736","132415500","1150707","150586040","1596556","11756960","522522","0400000US36","New York"
"104259815","1057882","99052370","963731","57716915","615876","41335455","777543","5207445","374035","0400000US37","North Carolina"
"6427925","217338","6093085","209868","4404595","166991","1688490","143320","334840","65081","0400000US38","North Dakota"
"121174480","835900","115329660","821161","65453555","639526","49876110","653096","5844815","271183","0400000US39","Ohio"
"35890825","460142","34032780","419924","20663950","291601","13368830","377819","1858050","193923","0400000US40","Oklahoma"
"40617570","545862","39092035","577913","25422500","421521","13669535","417156","1525535","168091","0400000US41","Oregon"
"153587890","1016450","137590470","979598","82969760","667003","54620710","810714","15997420","549831","0400000US42","Pennsylvania"
"12192980","326725","8730715","232429","5473890","197679","3256825","157740","3462265","261966","0400000US44","Rhode Island"
"49862080","682828","45628540","636027","27584775","448159","18043765","491819","4233540","255668","0400000US45","South Carolina"
"6853655","203517","6443900","198569","4352900","143574","2090995","139432","409755","74075","0400000US46","South Dakota"
"70465175","741978","66289855","727220","38703650","566451","27586200","648918","4175320","252313","0400000US47","Tennessee"
"315770680","1860108","310233120","1838534","203903030","1403149","106330085","1368482","5537560","433550","0400000US48","Texas"
"28010430","458239","27172980","443698","19043490","338106","8129495","324641","837450","155735","0400000US49","Utah"
"6917080","169171","6050775","139816","4035730","125643","2015045","125625","866305","117481","0400000US50","Vermont"
"110751810","809315","92540440","827788","34182540","511500","58357900","844421","18211370","497352","0400000US51","Virginia"
"86123750","736736","81744170","688795","58789095","618727","22955075","527549","4379580","254973","0400000US53","Washington"
"17810695","370602","13830790","309764","8165725","223839","5665065","246529","3979905","257542","0400000US54","West Virginia"
"61311430","476025","56617845","465609","33525720","382605","23092125","402337","4693585","226383","0400000US55","Wisconsin"
"5262010","272177","4893870","262596","3881065","194347","1012805","190442","368135","120103","0400000US56","Wyoming"
"28567115","566824","28504715","574680","8601070","237258","19903640","538805","62400","37342","0400000US72","Puerto Rico"
