"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"47456660","544718","43934175","549370","27300920","344174","16633255","497694","3522480","258686","0400000US01","Alabama"
"6319460","219012","6215645","198187","4927890","163831","1287755","114969","103810","62926","0400000US02","Alaska"
"65280415","735642","63566355","660819","58458005","653534","5108350","271946","1714060","202460","0400000US04","Arizona"
"26229990","451185","24425980","427085","14603475","305404","9822505","377561","1804010","189093","0400000US05","Arkansas"
"459439550","1834969","456368395","1842769","322725105","1710815","133643290","1348846","3071155","276950","0400000US06","California"
"63045350","626856","61557245","600232","30433680","427185","31123565","608263","1488105","173047","0400000US08","Colorado"
"42697465","466054","36140320","423251","24325630","412133","11814690","323573","6557145","320218","0400000US09","Connecticut"
"10226665","278771","7624450","205135","6545990","187152","1078460","112736","2602215","216980","0400000US10","Delaware"
"9552965","269966","6484135","189525","6484135","189525","-","**","3068830","204708","0400000US11","District of Columbia"
"216025740","1236404","211505155","1203052","154441435","1191034","57063720","1019806","4520585","312321","0400000US12","Florida"
"115935570","1097786","110887675","1009052","46098365","704470","64789310","1043228","5047895","332849","0400000US13","Georgia"
"18289095","395835","18186370","394026","18102895","395385","83475","31270","102725","38063","0400000US15","Hawaii"
"13618580","334913","12082615","301496","8633460","240850","3449155","218583","1535960","145173","0400000US16","Idaho"
"165482995","1158241","157032450","1129501","101306525","827588","55725925","756003","8450545","404495","0400000US17","Illinois"
"68179565","632257","60789945","601490","33845755","440513","26944195","550984","7389620","325675","0400000US18","Indiana"
