"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"28078535","360151","25792950","334842","16234865","245888","9558085","271128","2285585","194170","0400000US19","Iowa"
"25650110","350926","22605810","311441","14904595","234528","7701215","237798","3044295","180356","0400000US20","Kansas"
"41715440","534164","37291150","514983","20990600","387005","16300555","384231","4424285","234910","0400000US21","Kentucky"
"49071405","748411","46707225","718188","25624860","490206","21082365","615865","2364180","263728","0400000US22","Louisiana"
"14265690","332090","13074520","263074","8517705","191538","4556815","244651","1191170","153264","0400000US23","Maine"
"91665770","843209","66992595","767116","32795470","531558","34197125","570006","24673175","539501","0400000US24","Maryland"
"93076345","776780","87730300","800506","44739195","581035","42991105","675637","5346050","314548","0400000US25","Massachusetts"
"102082790","767153","99135985","768197","54472165","607184","44663820","663388","2946805","170422","0400000US26","Michigan"
"62337960","497205","59954590","469365","28809000","351711","31145590","521592","2383370","159277","0400000US27","Minnesota"
"28331805","546921","23604840","452350","12432680","316522","11172155","356973","4726965","337478","0400000US28","Mississippi"
"61091775","666704","55336295","584588","29956875","434582","25379420","480445","5755480","326580","0400000US29","Missouri"
"8111265","215009","7730465","199114","6295605","145094","1434865","131624","380795","88517","0400000US30","Montana"
"17075470","272468","16194195","228948","10637565","209723","5556630","181610","881275","108554","0400000US31","Nebraska"
"29445365","478714","28427665","450218","26466710","429704","1960955","181748","1017695","152165","0400000US32","Nevada"
"17429785","372555","12441740","300988","7540490","203425","4901250","235543","4988040","287429","0400000US33","New Hampshire"
"127574930","1101531","93480345","837243","42540170","515956","50940175","784876","34094585","733629","0400000US34","New Jersey"
"18086770","370872","16877115","342597","12604990","269340","4272125","236315","1209655","148292","0400000US35","New Mexico"
"286747385","1431292","274879860","1387049","130513090","987416","144366770","1302788","11867525","473169","0400000US36","New York"
"100726790","846574","95884715","861158","56102960","621185","39781760","688016","4842075","376077","0400000US37","North Carolina"
"6475935","210772","6184785","199982","4329415","168418","1855370","143784","291150","64339","0400000US38","North Dakota"
"119246815","868657","113707565","814527","64736575","534558","48970990","714119","5539250","302245","0400000US39","Ohio"
"35386940","411234","33657375","405280","20778035","302051","12879340","299017","1729565","142677","0400000US40","Oklahoma"
"38563720","551251","37036055","545618","23771775","406872","13264280","414664","1527660","158736","0400000US41","Oregon"
"150136475","1098684","135076030","927955","81827640","710285","53248390","755321","15060445","531544","0400000US42","Pennsylvania"
"11669170","280030","8246125","201233","5126555","180989","3119570","148108","3423045","253317","0400000US44","Rhode Island"
"49285560","597583","44965875","598579","27578105","508884","17387770","483597","4319685","308487","0400000US45","South Carolina"
"6854915","205564","6345105","173638","4223495","138927","2121610","115679","509810","91281","0400000US46","South Dakota"
"67532795","800241","63616110","759601","37859470","531468","25756640","548250","3916685","251173","0400000US47","Tennessee"
"302170695","1627585","296762765","1572959","194971105","1213849","101791660","1309666","5407930","405206","0400000US48","Texas"
"27508230","381574","26691700","345176","18603745","281245","8087950","264723","816530","180798","0400000US49","Utah"
"6510925","183611","5866025","168449","4011875","125315","1854150","98226","644905","69289","0400000US50","Vermont"
"109246685","914805","91779120","866019","33699845","517189","58079275","779790","17467565","548403","0400000US51","Virginia"
"83764480","786238","79783550","702526","57509060","649938","22274490","470223","3980930","264746","0400000US53","Washington"
"18360730","362744","14439940","279898","8552870","246862","5887075","245774","3920785","272215","0400000US54","West Virginia"
"60399470","485925","55828905","464516","33123495","385740","22705410","329596","4570565","214204","0400000US55","Wisconsin"
"5277170","210554","4952885","179696","4007545","151700","945345","156696","324285","87775","0400000US56","Wyoming"
"29169875","505002","29125705","503558","8855560","273959","20270145","489397","44170","20605","0400000US72","Puerto Rico"
