"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"6997960","249796","6581350","236270","4703125","122444","1878225","216036","416615","89618","0400000US38","North Dakota"
"129615915","1004083","123198125","944903","70068485","702941","53129640","772616","6417790","349057","0400000US39","Ohio"
"38760890","490571","36918570","479319","22091665","327323","14826905","412777","1842320","176712","0400000US40","Oklahoma"
"45196360","582844","43725045","578933","27876650","446796","15848395","451097","1471315","184417","0400000US41","Oregon"
"162715325","1394328","145894395","1322926","87317845","941435","58576545","938541","16820930","753775","0400000US42","Pennsylvania"
"13194825","322285","9299275","264052","5794110","215799","3505170","174476","3895550","274705","0400000US44","Rhode Island"
"58193645","838702","52372750","726318","31857790","610613","20514955","521101","5820900","403038","0400000US45","South Carolina"
"7518850","215531","7095370","217969","4485225","156498","2610145","167681","423480","68414","0400000US46","South Dakota"
"77566850","847153","73176940","847449","42051265","670730","31125675","644033","4389910","297299","0400000US47","Tennessee"
"351917720","2453143","345515080","2423062","221203895","1857369","124311185","1709704","6402640","539259","0400000US48","Texas"
"33012235","486020","32312120","462094","22335200","390661","9976920","340062","700115","110930","0400000US49","Utah"
"7244750","220227","6410105","186034","4214860","139607","2195240","141853","834650","97114","0400000US50","Vermont"
"117533485","1055114","100009500","947449","37119195","691121","62890300","991802","17523985","650651","0400000US51","Virginia"
"100088410","948785","95647125","978640","68366485","845596","27280640","735794","4441285","278716","0400000US53","Washington"
"18501245","402170","14119905","360094","8387660","244879","5732245","265091","4381340","309331","0400000US54","West Virginia"
"63667210","630057","59039905","590748","34763360","420818","24276545","427531","4627305","203684","0400000US55","Wisconsin"
"5037795","212496","4635125","186452","3821070","171703","814055","142438","402670","106566","0400000US56","Wyoming"
"29773760","646045","29648995","651886","8735555","316477","20913440","644493","124765","61248","0400000US72","Puerto Rico"
