"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes):","Margin of Error!!Aggregate travel time to work (in minutes):","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes):!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked outside State of residence","id","Geographic Area Name"
"52412110","695900","48603290","673181","29673420","556664","18929870","505337","3808820","303005","0400000US01","Alabama"
"6745470","314758","6681080","315657","5286770","229664","1394310","212689","64390","36276","0400000US02","Alaska"
"80588860","880264","78682015","900167","71983385","877516","6698630","389325","1906845","178025","0400000US04","Arizona"
"27791610","483849","26305425","456268","15559875","374508","10745555","388651","1486185","185056","0400000US05","Arkansas"
"538138130","2278526","534696800","2265183","376741680","1900461","157955120","1838661","3441330","346461","0400000US06","California"
"72596665","749328","71001625","762212","35382960","448861","35618665","627303","1595040","235529","0400000US08","Colorado"
"45740395","629749","37787135","523173","25320635","444096","12466500","355619","7953260","419486","0400000US09","Connecticut"
"11765095","343524","8591585","261168","7333795","239100","1257790","130688","3173510","279681","0400000US10","Delaware"
"11318865","269930","7515295","294340","7515295","294340","-","**","3803565","268072","0400000US11","District of Columbia"
"260781540","1614208","255247650","1615824","181072390","1445889","74175260","1208743","5533895","368206","0400000US12","Florida"
"135248355","1391351","129633595","1270608","54132255","920470","75501345","1184138","5614755","475815","0400000US13","Georgia"
"18816660","450369","18715575","451727","18572165","451449","143410","43289","101085","36017","0400000US15","Hawaii"
"16700415","322146","15128920","302945","10774655","275372","4354260","198181","1571495","174504","0400000US16","Idaho"
"173417540","1112269","164577140","1126314","106482160","905893","58094980","885719","8840400","361782","0400000US17","Illinois"
"74604190","807563","67038160","761525","36851770","573877","30186390","679996","7566035","327948","0400000US18","Indiana"
"29622300","433648","27470705","427257","16663385","280277","10807320","327229","2151595","139852","0400000US19","Iowa"
"27461885","436569","23766700","381947","15695615","257404","8071085","354367","3695185","190720","0400000US20","Kansas"
"45744185","675421","40200575","633665","22111690","419987","18088885","540682","5543610","280894","0400000US21","Kentucky"
"51637660","730821","48996190","688704","26380955","643137","22615235","643723","2641470","350192","0400000US22","Louisiana"
"15404770","321440","14234485","295855","9395125","255709","4839360","239306","1170280","156499","0400000US23","Maine"
"97843620","961283","71168880","845157","35101785","625521","36067090","761611","26674740","679954","0400000US24","Maryland"
"106704375","1055700","101306245","1024526","51819675","696401","49486570","907103","5398130","380134","0400000US25","Massachusetts"
"111581565","785889","108361310","795016","59269245","628033","49092065","714065","3220255","200495","0400000US26","Michigan"
"67585680","658312","65005050","565127","30837815","377661","34167230","558415","2580630","238721","0400000US27","Minnesota"
"30073660","728742","25358985","624019","12975405","455305","12383580","507126","4714675","362812","0400000US28","Mississippi"
"67361415","779964","60975480","760008","32539425","544465","28436055","610204","6385935","343809","0400000US29","Missouri"
"9392295","310695","9022580","289118","7140745","244507","1881835","193070","369715","114128","0400000US30","Montana"
"18650595","351044","17759950","320964","11730900","238788","6029050","251066","890645","123932","0400000US31","Nebraska"
"35509205","581941","34019910","576698","31780550","529034","2239360","189631","1489295","229530","0400000US32","Nevada"
"18759275","460392","13520205","329920","8100560","249133","5419645","246906","5239070","310475","0400000US33","New Hampshire"
"139069755","1071015","99846760","945921","44404465","684933","55442295","816908","39223000","994617","0400000US34","New Jersey"
"19484790","387122","18056485","356855","13855140","311314","4201345","238281","1428305","167149","0400000US35","New Mexico"
"305193510","1359093","294526555","1381690","139239580","1060296","155286975","1194625","10666960","507821","0400000US36","New York"
"118198690","1142481","112143215","1073209","64179025","812251","47964190","810907","6055475","406986","0400000US37","North Carolina"
