"GEO_ID","B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","NAME"
"0400000US36","261890505","1539091","250112140","1597386","118038995","1251166","132073145","1337411","11778370","537142","New York"
"0400000US37","92511045","873801","87940460","821421","51829505","637220","36110955","581620","4570585","341038","North Carolina"
"0400000US38","5508985","169270","5157945","160738","3792030","112413","1365915","119228","351040","70277","North Dakota"
"0400000US39","111678395","772682","106359220","701678","61166210","533189","45193010","700843","5319175","264684","Ohio"
"0400000US40","32985035","550252","31274820","492539","19258495","370855","12016325","395639","1710220","184110","Oklahoma"
"0400000US41","34685755","441623","33341265","432051","21573205","376356","11768060","365809","1344490","155424","Oregon"
"0400000US42","142551720","1127207","126836165","981133","77063060","665661","49773100","791075","15715555","539980","Pennsylvania"
"0400000US44","10647960","290927","7915490","245052","4926680","181312","2988815","194411","2732470","206795","Rhode Island"
"0400000US45","44135345","696176","40473240","683457","24859520","482439","15613725","505330","3662105","231636","South Carolina"
"0400000US46","6432260","195166","6033830","183919","4092855","137127","1940975","114524","398430","70979","South Dakota"
"0400000US47","62188885","572548","58108155","597951","34783125","434919","23325035","529876","4080730","324135","Tennessee"
"0400000US48","263072845","1525706","258010720","1447990","170392845","1162496","87617875","1066661","5062125","386241","Texas"
"0400000US49","24510755","392556","23779815","382046","16409480","316406","7370340","273583","730935","133344","Utah"
"0400000US50","6313975","187550","5651325","152366","3709670","133068","1941655","139710","662650","74674","Vermont"
"0400000US51","101312935","1016880","85056285","919982","31708160","568293","53348125","881851","16256650","566654","Virginia"
"0400000US53","72439920","779467","68546005","717432","49089485","559185","19456520","500241","3893915","286874","Washington"
"0400000US54","18079420","397877","14207680","319680","8246450","243204","5961230","288760","3871740","254429","West Virginia"
"0400000US55","56949420","556357","52363815","492827","30460815","378694","21903000","407527","4585605","255647","Wisconsin"
"0400000US56","4847550","209894","4424515","192966","3542165","177983","882355","121661","423035","120441","Wyoming"
"0400000US72","30345790","460613","30237205","474472","8969595","271218","21267610","432275","108585","68466","Puerto Rico"
