"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"46993510","606357","43299675","608454","26309455","492840","16990220","434783","3693835","252257","0400000US01","Alabama"
"6608280","293714","6552840","296109","5200145","230188","1352690","194728","55440","21897","0400000US02","Alaska"
"63367735","630379","61878995","631626","56387620","605750","5491375","289060","1488745","149196","0400000US04","Arizona"
"25446485","338610","23672680","349192","14460200","318894","9212480","265262","1773810","205663","0400000US05","Arkansas"
"428786015","1666244","425838570","1678527","299851855","1485096","125986715","1402336","2947445","231009","0400000US06","California"
"58100485","584214","56427805","547723","27803100","406614","28624705","525666","1672675","180511","0400000US08","Colorado"
"41130830","491211","34820660","409670","23359625","351870","11461035","313148","6310170","294017","0400000US09","Connecticut"
"10397650","294929","7468345","230612","6300930","201877","1167415","142158","2929305","232930","0400000US10","Delaware"
"9307860","248806","6139980","193571","6139980","193571","-","**","3167880","188033","0400000US11","District of Columbia"
"203377420","1442910","198615875","1403228","143743150","1155550","54872720","1048239","4761550","399660","0400000US12","Florida"
"107871780","1118008","102749660","954622","43832360","529557","58917300","887154","5122120","390932","0400000US13","Georgia"
"16659340","283148","16490305","288227","16398180","281068","92125","32491","169035","60859","0400000US15","Hawaii"
"13254225","365514","11945630","338029","8129700","242767","3815930","283204","1308595","164161","0400000US16","Idaho"
"158940775","1068953","150720080","1038888","96136215","791307","54583870","679371","8220695","352681","0400000US17","Illinois"
"67104460","667992","59958255","595373","33032845","454094","26925410","462069","7146210","333929","0400000US18","Indiana"
"27454315","383602","25154040","355520","15457605","270898","9696435","264523","2300270","162218","0400000US19","Iowa"
"25338735","378512","21945125","324033","14472270","247853","7472855","227803","3393610","191561","0400000US20","Kansas"
"40913915","508630","36104345","499855","20376790","373606","15727550","371756","4809570","287306","0400000US21","Kentucky"
"48284110","646078","45829345","635393","24755775","408652","21073570","579529","2454765","269338","0400000US22","Louisiana"
"14069145","291704","12884670","265943","8314150","202855","4570520","218284","1184475","138198","0400000US23","Maine"
"88946440","783824","64585750","653207","30986585","485658","33599165","669528","24360690","581239","0400000US24","Maryland"
"88827445","762647","83726235","764849","43380985","468583","40345250","709245","5101210","262881","0400000US25","Massachusetts"
"96789335","754500","93447275","710847","51115365","433187","42331910","563633","3342060","227739","0400000US26","Michigan"
"59405135","618250","57088920","571037","27251975","342893","29836945","530623","2316215","171074","0400000US27","Minnesota"
"27562155","513017","23067555","413746","12324790","266515","10742765","387461","4494595","327260","0400000US28","Mississippi"
"60435420","579892","54657330","522126","28688970","373186","25968360","465973","5778090","267392","0400000US29","Missouri"
"8168290","238947","7659285","211460","6078705","156805","1580580","144685","509005","120184","0400000US30","Montana"
"16375145","224731","15452420","229138","10202110","170742","5250305","183667","922725","97678","0400000US31","Nebraska"
"28284025","429097","27028070","414195","25018955","415205","2009115","168943","1255950","208960","0400000US32","Nevada"
"16752190","328269","11932815","261346","7287740","200638","4645075","207315","4819375","245816","0400000US33","New Hampshire"
"121160260","921220","88630375","842203","39659745","606940","48970630","738200","32529885","845567","0400000US34","New Jersey"
"17688520","313076","16753960","321572","12699350","312271","4054610","205891","934560","136328","0400000US35","New Mexico"
"272649800","1383671","260929995","1385746","123904345","1170041","137025650","1325484","11719805","428064","0400000US36","New York"
"96464595","857081","91648760","762802","53510240","529312","38138520","657004","4815835","351104","0400000US37","North Carolina"
"6179010","213305","5749155","182699","4096205","146196","1652950","137757","429855","99063","0400000US38","North Dakota"
"115920720","921910","110148885","896561","62713020","684264","47435865","680496","5771835","289668","0400000US39","Ohio"
"34298935","398447","32476145","378061","19662060","280098","12814090","351434","1822790","144994","0400000US40","Oklahoma"
"36226660","556976","34795560","528018","21971835","372199","12823725","454321","1431100","156801","0400000US41","Oregon"
"145631955","867760","130076715","836801","78571895","656311","51504825","679223","15555240","474420","0400000US42","Pennsylvania"
"11857525","289302","8482085","230719","5110205","153310","3371880","176523","3375435","211308","0400000US44","Rhode Island"
"45399425","646094","41296765","625147","25688290","460620","15608480","416741","4102660","233400","0400000US45","South Carolina"
"6618370","181662","6119890","157441","4052460","113247","2067430","131768","498480","108454","0400000US46","South Dakota"
"65416820","648898","60722800","610648","35983955","483301","24738845","599976","4694020","345971","0400000US47","Tennessee"
"281941470","1571796","276347075","1535405","181213680","1258280","95133400","1133402","5594395","420139","0400000US48","Texas"
"27205275","354578","26399715","312886","18290100","291385","8109615","256530","805560","134687","0400000US49","Utah"
"6817355","184658","6029075","178107","3862800","118770","2166275","125073","788280","89853","0400000US50","Vermont"
"105261605","893501","88143010","914634","31590390","439936","56552620","841813","17118595","554445","0400000US51","Virginia"
"78075390","731082","74129925","638348","53046165","602785","21083760","508364","3945465","289453","0400000US53","Washington"
"17977135","400359","13897695","334749","8208300","247937","5689395","250078","4079435","248743","0400000US54","West Virginia"
"58627400","532734","53714920","514184","31679235","362329","22035685","372795","4912480","214773","0400000US55","Wisconsin"
"4902440","224951","4594900","216509","3609615","165160","985285","157267","307540","79207","0400000US56","Wyoming"
"30950410","499269","30880145","505675","9169975","256727","21710170","482633","70265","39619","0400000US72","Puerto Rico"
