State,% Change <5 min,% Change 5 to 9 min,% Change 10 to 14 min,% Change 15 to 19 min,% Change 20 to 24 min,% Change 25 to 29 min,% Change 30 to 34 min,% Change 35 to 39 min,% Change 40 to 44 min,% Change 45 to 59 min,% Change 60 to 89 min,% Change > 89 min,% Change Total
AL,-16.325718322729976,-4.48610859334253,-4.22783611104629,-2.3322322421209907,-2.947908515682307,4.419893508424888,-2.564990610013018,8.139753650139303,8.50077882959912,12.888612483497752,21.26577547649373,14.070797257924216,8.733973386948325
AK,-15.192489692873846,3.729081101092291,2.222957440500739,2.5118653746844855,-2.3189416388288864,1.4896814762715538,5.71727043325978,-42.62242575684536,-16.104427935428756,-6.620111534120321,8.15953640983864,36.891255210471854,3.0962451366062904
AZ,-11.218840049342848,-5.130390392976403,-12.001016651823914,-6.562060596351216,-2.3247773157715423,13.333895278304176,-6.724175790989085,15.400167879329985,-1.4672071122640573,16.8294838195332,43.1318536834216,42.759276578456976,22.547765029644463
AR,-6.641417049946218,-6.288420776427173,3.0430229516813734,-1.4927006045793445,-2.540001929905611,-8.839590803586471,1.5439449960020557,8.337610694000164,11.774526492873495,13.524940526102668,12.12840932080903,10.462363002509312,6.523359914063009
CA,-25.414309931647573,-20.171194668597558,-15.834523868420014,-8.545551822202324,-7.111629088709148,9.025493662746321,1.3360379431011982,14.948043707356518,15.91182520809169,17.566493183789312,33.15079078168057,54.304207912361214,16.19306134858387
CO,-33.878150276268336,-19.10574301756197,-11.347227272567462,-3.617886759125455,0.6356733393383829,2.2005610123114527,6.541082743879301,26.136764958134616,19.254227385076426,16.757217692776628,35.48701578650801,17.84897405225849,20.40840838198481
CT,-20.74574850230403,-9.829471868440987,-3.642346644008254,-4.960023719135631,-0.3755714577723501,3.8250474141525936,-7.3662202741821,21.58985227032528,16.78583500939752,7.144694891616421,21.14661688714814,45.22286916853127,3.3925809694325126
DE,-11.81143168545411,-13.426098338929538,-1.2485824853712524,-10.07482162552341,-4.847015463013493,6.3151759367960025,6.305100238864703,15.086731733477698,13.224367444033657,8.196991854104807,20.691983791306946,41.96061179248092,13.016784747304012
DC,-35.115838367335925,-5.424848959580131,-12.828854383499543,-14.27815491059199,-20.630870367144794,-4.408830599297831,-2.1455782212366326,34.692006545092504,38.48222066852232,33.49682407071266,15.09327536057732,-18.75740701244698,26.833352847466884
FL,-20.84949291953979,-15.61100724528911,-16.246389009798033,-9.592108069882798,-7.121197266891488,1.011407021631916,4.965928304560507,12.169842989778612,28.063270812742978,20.0931609699486,44.80379208025731,35.33219062456248,22.20545147474178
GA,-15.65389511545897,-9.16622396247828,-10.45423280096286,-7.422431197971413,-6.060883567369357,9.322583931185324,0.15275378910171167,17.447789804549597,10.473907741982448,9.393644953222257,20.43510026393136,34.525084747939005,17.729447952162914
HI,-22.190571549481874,-18.24426093187205,0.08068826524190165,2.3916166588191734,-10.100916902692369,10.915494084883814,-9.354300078714573,6.050142177724505,13.019830489111484,13.21939120856548,27.04770597743402,90.69189170540368,7.205313347347886
ID,-17.949203188838283,-5.465794728093664,-9.300406624098677,-0.39283228642296164,12.36625344466562,24.759424861248092,-5.368098402014176,44.37405907199052,11.854733575265364,16.35039067276751,-1.6172180472162179,-1.3037681983164462,23.448664702565768
IL,-9.598760574607834,-9.803955011621234,-12.150500218373994,-2.757580660568859,-6.187331893162584,12.489709290167506,0.4055189905795231,25.41570792281227,8.435252001809301,9.817721319429417,10.64908326570524,10.04763199892935,5.856423037486391
IN,-5.772754537491254,-3.9084740722759803,-4.690936087417996,1.1550833125086424,-8.52063714392206,5.696410153113418,2.097743324221857,35.42456590128624,7.37951539461974,4.78644379306441,3.97757466204689,15.973581314140105,12.241003350802092
IA,-11.278680242735629,-2.964877759463791,-6.234118382983301,2.9200721122413675,0.14157360285369514,12.933390548263478,4.269353957639321,6.920222037198154,17.55980872672229,10.380870474949155,0.8193704854291495,0.1812477421016867,3.982462144430454
KS,-7.334018982440105,-0.8744986497800866,-10.856200972925102,-0.6752888679029345,-2.3709781445739098,11.049560384187096,7.060560011315564,25.376979205523064,16.74856578328057,17.636140941511293,24.824040129499593,-3.3979529156368593,5.763848046385456
KY,-12.072401438387526,-0.1694148975094123,-5.323783712893304,-1.278476732639,-6.904901312658607,-0.2365140022720702,-0.38234984175838926,15.438346869950514,16.158938190075077,8.287693295497078,24.063917557396586,36.490343879609476,8.703131879674576
LA,-3.2230444164505934,-7.7482670981173785,-10.98975683320682,-0.37490060049817364,-4.094376072658779,1.7184054990787123,6.350822516764021,24.74848868666073,26.00213227010957,7.8139719805677466,7.201866989814976,18.181448092402206,2.884762408144881
ME,-14.758880927127095,-5.3234112650082155,-10.935216082169141,4.365192253419314,-6.099882826668479,16.374262586547374,-1.1252532924639902,39.353826989847285,11.191304523791468,18.53043907863723,-0.04775112208913468,6.8065796974752235,5.194021927216164
